,Record,Rank,Revenue
0,"All Time International Box Office (Rank 1,101-1,200)",1124,"$92,759,125"
1,All Time International Sequel Box Office (Rank 301-400),346,"$92,759,125"
2,Top 2010 Movies at the International Box Office,41,"$92,759,125"
3,All Time International Box Office for Original Screenplay Movies (Rank 401-500),499,"$92,759,125"
4,All Time International Box Office for Live Action Movies (Rank 801-900),819,"$92,759,125"
5,All Time International Box Office for Contemporary Fiction Movies (Rank 401-500),406,"$92,759,125"
6,All Time International Box Office for Horror Movies,41,"$92,759,125"
7,All Time International Box Office for R Movies (Rank 201-300),237,"$92,759,125"
8,All Time International Box Office for Paramount Pictures Movies (Rank 101-200),108,"$92,759,125"
