,Record,Rank,Revenue
0,"All Time International Box Office (Rank 1,001-1,100)",1052,"$100,019,072"
1,All Time International Non-Sequel Box Office (Rank 701-800),724,"$100,019,072"
2,Top 2010 Movies at the International Box Office,40,"$100,019,072"
3,All Time International Box Office for Based on TV Movies,47,"$100,019,072"
4,All Time International Box Office for Live Action Movies (Rank 701-800),758,"$100,019,072"
5,All Time International Box Office for Contemporary Fiction Movies (Rank 301-400),376,"$100,019,072"
6,All Time International Box Office for Action Movies (Rank 301-400),317,"$100,019,072"
7,All Time International Box Office for PG-13 Movies (Rank 401-500),443,"$100,019,072"
8,All Time International Box Office for 20th Century Fox Movies (Rank 101-200),131,"$100,019,072"
