,Record,Rank,Revenue
0,"All Time International Box Office (Rank 2,501-2,600)",2564,"$31,841,401"
1,"All Time International Non-Sequel Box Office (Rank 2,001-2,100)",2015,"$31,841,401"
2,Top 2010 Movies at the International Box Office,100,"$31,841,401"
3,All Time International Box Office for Spin-Off Movies,33,"$31,841,401"
4,"All Time International Box Office for Live Action Movies (Rank 2,001-2,100)",2084,"$31,841,401"
5,"All Time International Box Office for Contemporary Fiction Movies (Rank 1,101-1,200)",1176,"$31,841,401"
6,All Time International Box Office for Comedy Movies (Rank 301-400),331,"$31,841,401"
7,All Time International Box Office for R Movies (Rank 601-700),676,"$31,841,401"
8,All Time International Box Office for Universal Movies (Rank 201-300),268,"$31,841,401"
