,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,8/17/2018,"$1,392",27,27,27,"$1,392",8/27/2018
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$193,913,879",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$193,915,271",8/27/2018
