,Record,Rank,Revenue
0,"All Time International Box Office (Rank 1,201-1,300)",1253,"$84,157,979"
1,All Time International Non-Sequel Box Office (Rank 801-900),882,"$84,157,979"
2,Top 2010 Movies at the International Box Office,44,"$84,157,979"
3,All Time International Box Office for Based on Real Life Events Movies,49,"$84,157,979"
4,"All Time International Box Office for Live Action Movies (Rank 901-1,000)",934,"$84,157,979"
5,All Time International Box Office for Dramatization Movies,73,"$84,157,979"
6,All Time International Box Office for Action Movies (Rank 301-400),359,"$84,157,979"
7,All Time International Box Office for PG-13 Movies (Rank 501-600),507,"$84,157,979"
8,All Time International Box Office for 20th Century Fox Movies (Rank 101-200),144,"$84,157,979"
