,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,1/21/2021,"$1,505",1,1,1,"$7,940,362",1/28/2021
1,Russia (CIS),5/18/2010,$0,0,190,263,"$76,505",8/25/2021
2,South Korea,3/18/2010,$0,0,45,87,"$6,717,438",11/25/2020
3,,,,,,,,
4,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$156,714,543",
5,,,,,,,,
6,International Total,International Total,International Total,International Total,International Total,International Total,"$171,448,848",8/25/2021
