,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Lithuania,12/17/2010,$0,0,2,2,"$229,497",12/11/2015
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$173,241,858",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$173,471,355",12/11/2015
