,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,11/5/2020,$41,3,3,7,"$20,962,686",11/21/2022
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$99,457,619",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$120,420,305",11/21/2022
