,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,3/25/2021,"$1,089",2,2,8,"$11,187,799",10/19/2022
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$216,615,637",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$227,803,436",10/19/2022
