,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,5/27/2021,$441,1,1,1,"$17,278,345",6/2/2021
1,Lithuania,10/15/2010,$0,0,6,8,"$430,346",10/2/2018
2,New Zealand,9/16/2010,$0,0,1,1,$96,2/21/2022
3,United Kingdom,10/15/2010,$0,0,1,1,"$31,940,900",10/20/2015
4,,,,,,,,
5,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$242,300,901",
6,,,,,,,,
7,International Total,International Total,International Total,International Total,International Total,International Total,"$291,950,588",2/21/2022
