,Record,Rank,Revenue
0,"All Time International Box Office (Rank 4,101-4,200)",4161,"$12,950,686"
1,"All Time International Non-Sequel Box Office (Rank 3,401-3,500)",3479,"$12,950,686"
2,Top 2010 Movies at the International Box Office (Rank 101-200),156,"$12,950,686"
3,All Time International Box Office for Based on Fiction Book/Short Story Movies (Rank 701-800),725,"$12,950,686"
4,"All Time International Box Office for Live Action Movies (Rank 3,401-3,500)",3457,"$12,950,686"
5,"All Time International Box Office for Contemporary Fiction Movies (Rank 2,001-2,100)",2066,"$12,950,686"
6,All Time International Box Office for Adventure Movies (Rank 701-800),739,"$12,950,686"
7,All Time International Box Office for PG Movies (Rank 501-600),565,"$12,950,686"
8,All Time International Box Office for 20th Century Fox Movies (Rank 201-300),288,"$12,950,686"
