,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,5/13/2021,$389,1,1,1,"$16,009,747",5/21/2021
1,Italy,3/26/2010,$0,0,35,35,"$6,505,999",2/16/2019
2,Lithuania,4/2/2010,$0,0,2,2,"$312,846",12/11/2015
3,South Korea,5/20/2010,$0,0,33,49,"$24,547,916",1/31/2019
4,,,,,,,,
5,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$229,913,252",
6,,,,,,,,
7,International Total,International Total,International Total,International Total,International Total,International Total,"$277,289,760",5/21/2021
