,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,1/26/2011,$0,0,3,3,$0,
1,,,,,,,,
2,International Total,International Total,International Total,International Total,International Total,International Total,"$81,033,923",
