,Record,Rank,Revenue
0,"All Time International Box Office (Rank 2,301-2,400)",2399,"$35,645,379"
1,"All Time International Non-Sequel Box Office (Rank 1,801-1,900)",1869,"$35,645,379"
2,Top 2010 Movies at the International Box Office,94,"$35,645,379"
3,All Time International Box Office for Based on Real Life Events Movies (Rank 101-200),120,"$35,645,379"
4,"All Time International Box Office for Live Action Movies (Rank 1,901-2,000)",1937,"$35,645,379"
5,All Time International Box Office for Dramatization Movies (Rank 101-200),146,"$35,645,379"
6,All Time International Box Office for Drama Movies (Rank 401-500),418,"$35,645,379"
7,All Time International Box Office for R Movies (Rank 601-700),628,"$35,645,379"
8,All Time International Box Office for Paramount Pictures Movies (Rank 201-300),202,"$35,645,379"
