,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,11/12/2020,$220,3,3,4,"$11,836,754",10/17/2022
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$226,766,169",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$238,602,923",10/17/2022
