,Record,Rank,Revenue
0,"All Time International Box Office (Rank 901-1,000)",966,"$107,083,674"
1,All Time International Non-Sequel Box Office (Rank 601-700),657,"$107,083,674"
2,Top 2010 Movies at the International Box Office,37,"$107,083,674"
3,All Time International Box Office for Original Screenplay Movies (Rank 401-500),425,"$107,083,674"
4,All Time International Box Office for Live Action Movies (Rank 601-700),686,"$107,083,674"
5,All Time International Box Office for Contemporary Fiction Movies (Rank 301-400),335,"$107,083,674"
6,All Time International Box Office for Romantic Comedy Movies,32,"$107,083,674"
7,All Time International Box Office for PG-13 Movies (Rank 401-500),410,"$107,083,674"
8,All Time International Box Office for Warner Bros. Movies (Rank 101-200),152,"$107,083,674"
