,Record,Rank,Revenue
0,All Time International Box Office (Rank 201-300),248,"$313,800,000"
1,All Time International Sequel Box Office (Rank 101-200),125,"$313,800,000"
2,Top 2010 Movies at the International Box Office,9,"$313,800,000"
3,All Time International Box Office for Based on Fiction Book/Short Story Movies,53,"$313,800,000"
4,All Time International Box Office for Animation/Live Action Movies,68,"$313,800,000"
5,All Time International Box Office for Fantasy Movies,40,"$313,800,000"
6,All Time International Box Office for Adventure Movies (Rank 101-200),110,"$313,800,000"
7,All Time International Box Office for PG Movies,63,"$313,800,000"
8,All Time International Box Office for 20th Century Fox Movies,32,"$313,800,000"
