,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Serbia and Montenegro,12/22/2011,$0,0,7,7,"$236,257",12/29/2018
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$348,578,768",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$348,815,025",12/29/2018
