,Record,Rank,Revenue
0,All Time International Box Office (Rank 701-800),756,"$134,282,571"
1,All Time International Non-Sequel Box Office (Rank 401-500),483,"$134,282,571"
2,Top 2010 Movies at the International Box Office,31,"$134,282,571"
3,All Time International Box Office for Based on Fiction Book/Short Story Movies (Rank 101-200),167,"$134,282,571"
4,All Time International Box Office for Live Action Movies (Rank 501-600),506,"$134,282,571"
5,All Time International Box Office for Fantasy Movies,85,"$134,282,571"
6,All Time International Box Office for Adventure Movies (Rank 201-300),269,"$134,282,571"
7,All Time International Box Office for PG Movies (Rank 101-200),183,"$134,282,571"
8,All Time International Box Office for 20th Century Fox Movies (Rank 101-200),101,"$134,282,571"
