,Record,Rank,Revenue
0,"All Time International Box Office (Rank 1,701-1,800)",1771,"$54,456,101"
1,All Time International Sequel Box Office (Rank 401-500),453,"$54,456,101"
2,Top 2010 Movies at the International Box Office,65,"$54,456,101"
3,All Time International Box Office for Based on TV Movies,88,"$54,456,101"
4,"All Time International Box Office for Live Action Movies (Rank 1,301-1,400)",1390,"$54,456,101"
5,All Time International Box Office for Factual Movies,13,"$54,456,101"
6,All Time International Box Office for Documentary Movies,9,"$54,456,101"
7,All Time International Box Office for R Movies (Rank 401-500),435,"$54,456,101"
8,All Time International Box Office for Paramount Pictures Movies (Rank 101-200),166,"$54,456,101"
