,Record,Rank,Revenue
0,"All Time International Box Office (Rank 2,601-2,700)",2686,"$29,728,564"
1,"All Time International Non-Sequel Box Office (Rank 2,101-2,200)",2126,"$29,728,564"
2,Top 2010 Movies at the International Box Office (Rank 101-200),102,"$29,728,564"
3,All Time International Box Office for Based on Fiction Book/Short Story Movies (Rank 501-600),524,"$29,728,564"
4,"All Time International Box Office for Live Action Movies (Rank 2,101-2,200)",2190,"$29,728,564"
5,"All Time International Box Office for Contemporary Fiction Movies (Rank 1,201-1,300)",1242,"$29,728,564"
6,All Time International Box Office for Drama Movies (Rank 401-500),492,"$29,728,564"
7,All Time International Box Office for PG Movies (Rank 401-500),442,"$29,728,564"
8,All Time International Box Office for Walt Disney Movies (Rank 201-300),227,"$29,728,564"
