,Record,Rank,Revenue
0,"All Time International Box Office (Rank 4,001-4,100)",4058,"$13,770,165"
1,"All Time International Non-Sequel Box Office (Rank 3,301-3,400)",3385,"$13,770,165"
2,Top 2010 Movies at the International Box Office (Rank 101-200),155,"$13,770,165"
3,All Time International Box Office for Remake Movies (Rank 101-200),174,"$13,770,165"
4,"All Time International Box Office for Live Action Movies (Rank 3,301-3,400)",3369,"$13,770,165"
5,"All Time International Box Office for Contemporary Fiction Movies (Rank 2,001-2,100)",2006,"$13,770,165"
6,All Time International Box Office for Comedy Movies (Rank 601-700),604,"$13,770,165"
7,"All Time International Box Office for PG-13 Movies (Rank 1,101-1,200)",1143,"$13,770,165"
8,All Time International Box Office for Paramount Pictures Movies (Rank 201-300),268,"$13,770,165"
