,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,5/20/2021,$216,1,1,1,"$9,390,019",5/25/2021
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$116,634,760",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$126,024,779",5/25/2021
