,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,South Korea,4/1/2010,$0,0,1,1,"$19,394,470",3/1/2019
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$310,605,530",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$330,000,000",3/1/2019
