,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,11/12/2020,$453,1,2,3,"$9,442,612",12/11/2020
1,New Zealand,11/11/2010,$0,0,1,1,$77,6/13/2022
2,South Korea,11/18/2010,$0,0,63,63,"$3,217,895",9/8/2021
3,,,,,,,,
4,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$115,298,857",
5,,,,,,,,
6,International Total,International Total,International Total,International Total,International Total,International Total,"$127,959,441",6/13/2022
