,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Brazil,4/10/2014,$0,0,60,77,"$28,317,546",12/17/2015
1,Spain,3/28/2014,$0,0,1,1,"$7,763,694",12/15/2015
2,,,,,,,,
3,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$418,573,691",
4,,,,,,,,
5,International Total,International Total,International Total,International Total,International Total,International Total,"$454,654,931",12/17/2015
