,Record,Rank,Revenue
0,All Time International Box Office (Rank 201-300),267,"$294,226,015"
1,All Time International Non-Sequel Box Office (Rank 101-200),133,"$294,226,015"
2,Top 2011 Movies at the International Box Office,15,"$294,226,015"
3,All Time International Box Office for Remake Movies,10,"$294,226,015"
4,All Time International Box Office for Animation/Live Action Movies,70,"$294,226,015"
5,All Time International Box Office for Science Fiction Movies,63,"$294,226,015"
6,All Time International Box Office for Adventure Movies (Rank 101-200),120,"$294,226,015"
7,All Time International Box Office for PG-13 Movies (Rank 101-200),149,"$294,226,015"
8,All Time International Box Office for 20th Century Fox Movies,35,"$294,226,015"
