,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,New Zealand,3/4/2010,$0,0,5,20,$689,8/15/2022
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$691,299,311",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$691,300,000",8/15/2022
