,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Australia,11/5/2020,"$2,207",10,25,44,"$15,722,165",8/29/2022
1,Germany,12/9/2010,$0,0,2,2,"$41,402,704",10/13/2015
2,Lebanon,12/2/2010,$0,0,1,4,"$467,381",12/29/2018
3,New Zealand,1/6/2022,$0,0,9,9,"$1,659",8/8/2022
4,South Korea,2/10/2011,$0,0,5,10,"$8,625,220",3/4/2020
5,,,,,,,,
6,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$316,736,177",
7,,,,,,,,
8,International Total,International Total,International Total,International Total,International Total,International Total,"$382,955,306",8/29/2022
