,Record,Rank,Revenue
0,"All Time International Box Office (Rank 901-1,000)",976,"$106,059,531"
1,All Time International Non-Sequel Box Office (Rank 601-700),666,"$106,059,531"
2,Top 2010 Movies at the International Box Office,38,"$106,059,531"
3,All Time International Box Office for Based on Comic/Graphic Novel Movies (Rank 101-200),110,"$106,059,531"
4,All Time International Box Office for Live Action Movies (Rank 601-700),694,"$106,059,531"
5,All Time International Box Office for Contemporary Fiction Movies (Rank 301-400),341,"$106,059,531"
6,All Time International Box Office for Action Movies (Rank 201-300),293,"$106,059,531"
7,All Time International Box Office for PG-13 Movies (Rank 401-500),415,"$106,059,531"
8,All Time International Box Office for Summit Entertainment Movies,7,"$106,059,531"
