,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Denmark,5/28/2010,$0,0,0,0,$0,
1,,,,,,,,
2,International Total,International Total,International Total,International Total,International Total,International Total,"$245,600,000",
