,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Argentina,11/19/2015,"$2,273,931",157,157,595,"$7,120,666",12/31/2018
1,Australia,11/20/2015,"$7,125,495",618,618,2887,"$20,082,004",11/28/2022
2,Austria,11/19/2015,"$1,367,025",76,81,534,"$4,687,255",6/9/2016
3,Belgium,11/18/2015,$0,0,127,645,"$5,491,229",6/9/2016
4,Bolivia,11/19/2015,"$134,794",29,29,111,"$559,857",12/31/2018
5,Brazil,11/18/2015,"$4,657,208",852,852,3520,"$16,890,580",6/9/2016
6,Bulgaria,11/20/2015,"$184,633",66,66,223,"$624,288",12/31/2018
7,Cambodia,11/20/2015,$0,0,11,13,"$99,452",12/30/2018
8,Central America,11/19/2015,$0,0,118,128,"$3,369,829",1/26/2016
9,Chile,11/19/2015,"$922,248",135,135,513,"$3,257,066",12/31/2018
10,China,11/19/2015,"$14,680,000",39803,39803,47053,"$21,424,204",9/27/2018
11,Colombia,11/19/2015,"$1,411,832",468,3265,4211,"$36,089,120",12/30/2018
12,Croatia,11/19/2015,"$120,142",39,39,161,"$302,776",12/31/2018
13,Czech Republic,11/19/2015,$0,0,69,185,"$1,045,726",12/30/2018
14,Denmark,11/18/2015,$0,0,163,289,"$4,312,473",6/9/2016
15,Ecuador,11/20/2015,$0,0,49,49,"$1,554,178",12/30/2018
16,Estonia,11/20/2015,"$107,163",13,13,22,"$157,265",12/8/2015
17,Finland,11/20/2015,"$568,642",138,138,476,"$2,055,520",6/9/2016
18,France,11/18/2015,"$8,372,581",836,861,4703,"$22,412,208",6/9/2016
19,Germany,11/19/2015,"$13,432,085",1002,1127,6777,"$43,707,200",8/18/2018
20,Greece,11/26/2015,"$322,659",79,79,187,"$825,819",12/21/2015
21,Hong Kong,11/19/2015,"$1,663,742",106,106,285,"$3,609,955",9/5/2016
22,Hungary,11/19/2015,$0,0,68,68,"$1,223,136",12/30/2018
23,Iceland,11/20/2015,$0,0,10,12,"$252,816",12/30/2018
24,Iraq,11/19/2015,"$16,790",5,5,16,"$55,654",12/30/2018
25,Italy,11/19/2015,"$4,302,517",728,728,1668,"$8,733,582",9/5/2016
26,Japan,11/20/2015,$0,0,251,251,"$1,225,393",12/1/2015
27,Kuwait,11/19/2015,"$7,457",2,2,3,"$11,623",12/30/2018
28,Latvia,11/20/2015,"$98,183",14,14,15,"$229,831",12/31/2018
29,Lebanon,11/19/2015,"$62,869",12,12,26,"$349,900",12/30/2018
30,Lithuania,11/20/2015,"$106,993",155,155,155,"$122,412",11/25/2015
31,Malaysia,11/19/2015,"$1,302,721",379,379,826,"$2,860,579",9/5/2016
32,Mexico,11/20/2015,"$9,092,889",0,18,18,"$20,156,284",9/8/2018
33,Netherlands,11/18/2015,"$1,765,845",132,132,845,"$7,365,825",6/9/2016
34,New Zealand,11/20/2015,"$1,218,605",201,201,947,"$3,348,344",6/9/2016
35,Oman,11/19/2015,"$12,190",2,2,6,"$31,525",12/30/2018
36,Peru,11/19/2015,$0,0,201,373,"$2,627,529",12/31/2018
37,Philippines,11/18/2015,$0,0,40,40,"$4,611,304",12/30/2018
38,Portugal,11/19/2015,"$501,251",132,132,531,"$1,945,388",6/9/2016
39,Romania,11/20/2015,$0,0,90,139,"$951,256",12/30/2018
40,Russia (CIS),11/19/2015,"$6,659,751",2460,2460,6974,"$10,161,646",12/31/2018
41,Serbia and Montenegro,11/19/2015,"$20,023",21,21,70,"$85,525",12/31/2018
42,Singapore,11/19/2015,"$1,408,368",105,105,294,"$3,157,813",6/9/2016
43,Slovakia,11/19/2015,"$323,054",69,69,157,"$576,900",12/17/2015
44,Slovenia,11/19/2015,"$55,285",28,28,198,"$163,085",6/9/2016
45,South Africa,11/20/2015,$0,0,122,179,"$1,380,566",12/21/2015
46,South Korea,11/19/2015,"$2,212,458",661,661,1337,"$5,258,399",12/21/2015
47,Spain,11/27/2015,"$428,306",232,449,2285,"$12,584,261",11/28/2018
48,Sweden,11/18/2015,$0,0,122,297,"$7,427,966",6/9/2016
49,Switzerland,11/19/2015,$0,0,24,24,"$4,450,085",9/5/2016
50,Taiwan,11/20/2015,$0,0,0,0,$0,
51,Thailand,11/19/2015,"$1,409,433",374,374,752,"$2,712,859",6/9/2016
52,Turkey,11/20/2015,"$973,081",479,479,1699,"$3,236,977",12/31/2018
53,Ukraine,11/19/2015,"$454,905",265,265,829,"$876,969",12/30/2018
54,United Arab Emirates,11/19/2015,"$1,091,934",92,92,244,"$2,693,351",12/31/2018
55,United Kingdom,11/20/2015,"$17,108,323",576,579,3605,"$44,071,148",6/9/2016
56,Uruguay,11/19/2015,$0,0,24,61,"$361,541",12/31/2018
57,Venezuela,11/20/2015,$0,0,78,257,"$9,475,015",1/26/2016
58,Vietnam,11/20/2015,"$343,183",139,139,222,"$684,436",12/30/2018
59,,,,,,,,
60,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$532,638",
61,,,,,,,,
62,International Total,International Total,International Total,International Total,International Total,International Total,"$365,672,231",11/28/2022
