,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,New Zealand,5/27/2010,$0,0,1,2,$319,2/13/2023
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$54,654,288",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$54,654,607",2/13/2023
