,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Egypt,6/19/2013,$0,0,1,5,"$296,468",12/30/2018
1,South Korea,6/21/2013,$0,0,125,185,"$31,643,140",4/28/2020
2,,,,,,,,
3,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$297,215,331",
4,,,,,,,,
5,International Total,International Total,International Total,International Total,International Total,International Total,"$329,154,939",4/28/2020
