,Territory,Release Date,Opening Weekend,Opening Weekend Screens,Maximum Screens,Theatrical Engagements,Total Box Office,Report Date
0,Egypt,12/14/2011,$0,0,1,6,"$576,625",12/29/2018
1,,,,,,,,
2,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World,"$484,738,702",
3,,,,,,,,
4,International Total,International Total,International Total,International Total,International Total,International Total,"$485,315,327",12/29/2018
