,Record,Rank,Revenue
0,All Time International Box Office (Rank 601-700),652,"$154,835,329"
1,All Time International Non-Sequel Box Office (Rank 401-500),404,"$154,835,329"
2,Top 2010 Movies at the International Box Office,30,"$154,835,329"
3,All Time International Box Office for Based on Short Film Movies,2,"$154,835,329"
4,All Time International Box Office for Animation/Live Action Movies (Rank 101-200),111,"$154,835,329"
5,All Time International Box Office for Fantasy Movies,78,"$154,835,329"
6,All Time International Box Office for Adventure Movies (Rank 201-300),246,"$154,835,329"
7,All Time International Box Office for PG Movies (Rank 101-200),160,"$154,835,329"
8,All Time International Box Office for Walt Disney Movies (Rank 101-200),113,"$154,835,329"
