,0,1,2,type
49,Vaughn Williams,,Special Effects,Production and Technical Credits
50,Roland N. Thai,,Sound Effects Editor,Production and Technical Credits
51,Curt Schulkey,,Dialogue Editor,Production and Technical Credits
52,Frederick H. Stahly,,Dialogue Editor,Production and Technical Credits
53,Michelle Pazer,,Dialogue Editor,Production and Technical Credits
54,Christopher Flick,,Foley Editor,Production and Technical Credits
55,Willard Overstreet,,Foley Editor,Production and Technical Credits
56,James Ashwill,,Foley Mixer,Production and Technical Credits
57,Richard Duarte,,Foley Mixer,Production and Technical Credits
58,John Guentner,,Foley Mixer,Production and Technical Credits
59,Jason King,,Additional Sound Re-recording Mixer,Production and Technical Credits
60,Michael Minkler,,Additional Sound Re-recording Mixer,Production and Technical Credits
61,Jason Ruder,,Supervising Music Editor,Production and Technical Credits
62,Lena Glikson,,Music Editor,Production and Technical Credits
63,Rick Schuler,,Location Manager,Production and Technical Credits
64,Stephen Mapel*,,Location Manager,Production and Technical Credits
65,Jerry Ortega,,Set Designer,Production and Technical Credits
