"","name","character_name","type","filename","likelyGender","firstName","lastName","raceEthnicity"
"210","Alan Tudyk","K-2SO","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male","Alan","Tudyk","W_NL"
"211","Riz Ahmed","Bodhi Rook","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male","Riz","Ahmed","A"
"212","Ellen DeGeneres","Dory","Leading Cast","2016_1_Finding Dory.csv","female","Ellen","DeGeneres","W_NL"
"213","Chris Evans","Steve Rogers/Captain America","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Chris","Evans","B_NL"
"214","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Robert","Downey","W_NL"
"215","Scarlett Johansson","Natasha Romanoff / Black Widow","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","female","Scarlett","Johansson","W_NL"
"216","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Sebastian","Stan","W_NL"
"217","Jeremy Renner","Clint Barton/Hawkeye","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Jeremy","Renner","W_NL"
"218","Don Cheadle","James Rhodes/War Machine","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Don","Cheadle","B_NL"
"219","Anthony Mackie","Sam Wilson/Falcon","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Anthony","Mackie","B_NL"
"220","Paul Bettany","Vision","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Paul","Bettany","W_NL"
"221","Elizabeth Olsen","Wanda Maximoff/Scarlet Witch","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","female","Elizabeth","Olsen","W_NL"
"222","Chadwick Boseman","T'Challa/Black Panther","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male","Chadwick","Boseman","B_NL"
"223","Louis C.K.","Max","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Louis","C.K.","B_NL"
"224","Eric Stonestreet","Duke","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Eric","Stonestreet","W_NL"
"225","Kevin Hart","Snowball","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Kevin","Hart","W_NL"
"226","Jenny Slate","Gidget","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","female","Jenny","Slate","W_NL"
"227","Ellie Kemper","Katie","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","female","Ellie","Kemper","W_NL"
"228","Albert Brooks","Tiberius","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Albert","Brooks","B_NL"
"229","Lake Bell","Chloe","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Lake","Bell","B_NL"
"230","Dana Carvey","Pops","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","female","Dana","Carvey","W_NL"
"231","Hannibal Buress","Buddy","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Hannibal","Buress","W_NL"
"232","Bobby Moynihan","Mel","Lead Ensemble Members","2016_3_The Secret Life of Pets.csv","male","Bobby","Moynihan","W_NL"
"233","Bill Murray","Baloo","Lead Ensemble Members","2016_4_The Jungle Book.csv","male","Bill","Murray","B_NL"
"234","Ben Kingsley","Bagheera","Lead Ensemble Members","2016_4_The Jungle Book.csv","male","Ben","Kingsley","W_NL"
"235","Idris Elba","Shere Khan","Lead Ensemble Members","2016_4_The Jungle Book.csv","male","Idris","Elba","W_NL"
"236","Lupita Nyong'o","Raksha","Lead Ensemble Members","2016_4_The Jungle Book.csv","female","Lupita","Nyong'o","B_NL"
"237","Scarlett Johansson","Kaa","Lead Ensemble Members","2016_4_The Jungle Book.csv","female","Scarlett","Johansson","W_NL"
"238","Giancarlo Esposito","Akela","Lead Ensemble Members","2016_4_The Jungle Book.csv","male","Giancarlo","Esposito","HL"
"239","Christopher Walken","King Louie","Lead Ensemble Members","2016_4_The Jungle Book.csv","male","Christopher","Walken","W_NL"
"240","Neel Sethi","Mowgli","Lead Ensemble Members","2016_4_The Jungle Book.csv","male","Neel","Sethi","A"
"241","Ryan Reynolds","Wade/Deadpool","Leading Cast","2016_5_Deadpool.csv","male","Ryan","Reynolds","W_NL"
"242","Ginnifer Goodwin","Judy Hoops","Leading Cast","2016_6_Zootopia.csv","female","Ginnifer","Goodwin","W_NL"
"243","Jason Bateman","Nick Wilde","Leading Cast","2016_6_Zootopia.csv","male","Jason","Bateman","W_NL"
"244","Henry Cavill","Superman","Leading Cast","2016_7_Batman v Superman_ Dawn of Justice.csv","male","Henry","Cavill","W_NL"
"245","Ben Affleck","Batman","Leading Cast","2016_7_Batman v Superman_ Dawn of Justice.csv","male","Ben","Affleck","W_NL"
"246","Amy Adams","Lois Lane","Leading Cast","2016_7_Batman v Superman_ Dawn of Justice.csv","female","Amy","Adams","W_NL"
"247","Gal Gadot","Wonder Woman","Leading Cast","2016_7_Batman v Superman_ Dawn of Justice.csv","male","Gal","Gadot","W_NL"
"248","Will Smith","Deadshot","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Will","Smith","B_NL"
"249","Jared Leto","Joker","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Jared","Leto","W_NL"
"250","Margot Robbie","Harley Quinn","Lead Ensemble Members","2016_8_Suicide Squad.csv","female","Margot","Robbie","W_NL"
"251","Joel Kinnaman","Rick Flag","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Joel","Kinnaman","W_NL"
"252","Viola Davis","Amanda Waller","Lead Ensemble Members","2016_8_Suicide Squad.csv","female","Viola","Davis","B_NL"
"253","Jai Courtney","Boomerang","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Jai","Courtney","A"
"254","Jay Hernandez","Diablo","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Jay","Hernandez","HL"
"255","Adewale Akinnuoye-Agbaje","Killer Croc","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Adewale","Akinnuoye-Agbaje","B_NL"
"256","Ike Barinholtz","Griggs","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Ike","Barinholtz","W_NL"
"257","Scott Eastwood","Lieutenant GQ Edwards","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Scott","Eastwood","W_NL"
"258","Cara Delevingne","June Moone/Enchantress","Lead Ensemble Members","2016_8_Suicide Squad.csv","female","Cara","Delevingne","B_NL"
"259","Karen Fukuhara","Katana","Lead Ensemble Members","2016_8_Suicide Squad.csv","female","Karen","Fukuhara","A"
"260","Adam Beach","Slipknot","Lead Ensemble Members","2016_8_Suicide Squad.csv","male","Adam","Beach","W_NL"
"261","Matthew McConaughey","Buster Moon","Lead Ensemble Members","2016_9_Sing.csv","male","Matthew","McConaughey","W_NL"
"262","Reese Witherspoon","Rosita","Lead Ensemble Members","2016_9_Sing.csv","female","Reese","Witherspoon","B_NL"
"263","Seth MacFarlane","Mike","Lead Ensemble Members","2016_9_Sing.csv","male","Seth","MacFarlane","W_NL"
"264","Tori Kelly","Meena","Lead Ensemble Members","2016_9_Sing.csv","female","Tori","Kelly","B_NL"
"265","John C. Reilly","Eddie","Lead Ensemble Members","2016_9_Sing.csv","male","John","C. Reilly","W_NL"
"266","Taron Egerton","Johnny","Lead Ensemble Members","2016_9_Sing.csv","male","Taron","Egerton","W_NL"
"267","Scarlett Johansson","Ash","Lead Ensemble Members","2016_9_Sing.csv","female","Scarlett","Johansson","W_NL"
"268","Mark Hamill","Luke Skywalker","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","Mark","Hamill","W_NL"
"269","Carrie Fisher","General Leia Organa","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","female","Carrie","Fisher","W_NL"
"270","Adam Driver","Kylo Ren","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","Adam","Driver","W_NL"
"271","Daisy Ridley","Rey","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","female","Daisy","Ridley","B_NL"
"272","John Boyega","Finn","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","John","Boyega","B_NL"
"273","Oscar Isaac","Poe Dameron","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","Oscar","Isaac","HL"
"274","Domhnall Gleeson","General Hux","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","Domhnall","Gleeson","W_NL"
"275","Anthony Daniels","C-3PO","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","Anthony","Daniels","B_NL"
"276","Gwendoline Christie","Captain Phasma","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","female","Gwendoline","Christie","B_NL"
"277","Kelly Marie Tran","Rose Tico","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","female","Kelly","Marie Tran","A"
"278","Benicio del Toro","DJ","Lead Ensemble Members","2017_0_Star Wars Ep. VIII_ The Last Jedi.csv","male","Benicio","del Toro","HL"
"279","Emma Watson","Belle","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female","Emma","Watson","B_NL"
"280","Dan Stevens","Beast / Prince","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Dan","Stevens","W_NL"
"281","Luke Evans","Gaston","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Luke","Evans","W_NL"
"282","Kevin Kline","Maurice","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Kevin","Kline","W_NL"
"283","Josh Gad","Le Fou","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Josh","Gad","A"
"284","Ewan McGregor","Lumiere","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Ewan","McGregor","W_NL"
"285","Stanley Tucci","Cadenza","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Stanley","Tucci","W_NL"
"286","Audra McDonald","Madame De Garderobe","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female","Audra","McDonald","B_NL"
"287","Gugu Mbatha-Raw","Plumette","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female","Gugu","Mbatha-Raw","B_NL"
"288","Ian McKellen","Cogsworth","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","male","Ian","McKellen","W_NL"
"289","Emma Thompson","Mrs. Potts","Lead Ensemble Members","2017_1_Beauty and the Beast.csv","female","Emma","Thompson","B_NL"
"290","Gal Gadot","Diana/Wonder Woman","Leading Cast","2017_2_Wonder Woman.csv","male","Gal","Gadot","W_NL"
"291","Chris Pine","Steve Trevor","Leading Cast","2017_2_Wonder Woman.csv","male","Chris","Pine","W_NL"
"292","Dwayne Johnson","Dr. Smolder Bravestone/Spencer's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male","Dwayne","Johnson","B_NL"
"293","Jack Black","Professor Sheldon ""Shelly"" Oberon/Bethany's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male","Jack","Black","W_NL"
"294","Kevin Hart","Franklin ""Moose"" Finbar/Fridge's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male","Kevin","Hart","W_NL"
"295","Karen Gillan","Ruby Roundhouse/Martha's Avatar","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","female","Karen","Gillan","W_NL"
"296","Nick Jonas","Jefferson ""Seaplane"" McDonough/Avatar of Alex Vreeke","Lead Ensemble Members","2017_3_Jumanji_ Welcome to the Jungle.csv","male","Nick","Jonas","W_NL"
"297","Chris Pratt","Peter Quill/Star-Lord","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Chris","Pratt","W_NL"
"298","Zoe Saldana","Gamora","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","female","Zoe","Saldana","HL"
"299","Dave Bautista","Drax the Destroyer","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Dave","Bautista","HL"
"300","Vin Diesel","Baby Groot","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Vin","Diesel","W_NL"
"301","Bradley Cooper","Rocket","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Bradley","Cooper","W_NL"
"302","Michael Rooker","Yondu Udonta","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Michael","Rooker","W_NL"
"303","Kurt Russell","Ego","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Kurt","Russell","W_NL"
"304","Karen Gillan","Nebula","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","female","Karen","Gillan","W_NL"
"305","Pom Klementieff","Mantis","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","male","Pom","Klementieff","A"
"306","Elizabeth Debicki","Ayesha","Lead Ensemble Members","2017_4_Guardians of the Galaxy Vol 2.csv","female","Elizabeth","Debicki","W_NL"
"307","Tom Holland","Peter Parker / Spider-Man","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male","Tom","Holland","W_NL"
"308","Michael Keaton","Adrian Toomes/Vulture","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male","Michael","Keaton","W_NL"
"309","Zendaya","Michelle","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","female","Zendaya",NA,NA
"310","Jon Favreau","Happy Hogan","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male","Jon","Favreau","W_NL"
"311","Marisa Tomei","Aunt May","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","female","Marisa","Tomei","W_NL"
"312","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2017_5_Spider-Man_ Homecoming.csv","male","Robert","Downey","W_NL"
"313","Jaeden Lieberher","Bill Denbrough","Leading Cast","2017_6_It.csv","male","Jaeden","Lieberher","A"
"314","Bill Skarsgård","Pennywise","Leading Cast","2017_6_It.csv","male","Bill","Skarsgård","W_NL"
"315","Chris Hemsworth","Thor","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Chris","Hemsworth","W_NL"
"316","Tom Hiddleston","Loki","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Tom","Hiddleston","W_NL"
"317","Cate Blanchett","Hela","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","female","Cate","Blanchett","B_NL"
"318","Idris Elba","Heimdall","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Idris","Elba","W_NL"
"319","Jeff Goldblum","Grandmaster","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Jeff","Goldblum","W_NL"
"320","Tessa Thompson","Valkyrie","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","female","Tessa","Thompson","B_NL"
"321","Karl Urban","Skurge","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Karl","Urban","W_NL"
"322","Mark Ruffalo","Bruce Banner/Hulk","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Mark","Ruffalo","W_NL"
"323","Anthony Hopkins","Odin","Lead Ensemble Members","2017_7_Thor_ Ragnarok.csv","male","Anthony","Hopkins","B_NL"
"324","Steve Carell","Gru / Dru","Leading Cast","2017_8_Despicable Me 3.csv","male","Steve","Carell","W_NL"
"325","Kristen Wiig","Lucy Wilde","Leading Cast","2017_8_Despicable Me 3.csv","female","Kristen","Wiig","W_NL"
"326","Trey Parker","Balthazar Bratt","Leading Cast","2017_8_Despicable Me 3.csv","male","Trey","Parker","B_NL"
"327","Ben Affleck","Bruce Wayne / Batman","Lead Ensemble Members","2017_9_Justice League.csv","male","Ben","Affleck","W_NL"
"328","Henry Cavill","Kal-El / Clark Kent / Superman","Lead Ensemble Members","2017_9_Justice League.csv","male","Henry","Cavill","W_NL"
"329","Gal Gadot","Diana Prince / Wonder Woman","Lead Ensemble Members","2017_9_Justice League.csv","male","Gal","Gadot","W_NL"
"330","Jason Momoa","Aquaman","Lead Ensemble Members","2017_9_Justice League.csv","male","Jason","Momoa","B_NL"
"331","Ezra Miller","Barry Allen / Flash","Lead Ensemble Members","2017_9_Justice League.csv","male","Ezra","Miller","B_NL"
"332","Ray Fisher","Victor Stone / Cyborg","Lead Ensemble Members","2017_9_Justice League.csv","male","Ray","Fisher","W_NL"
"333","Chadwick Boseman","T’Challa/Black Panther","Lead Ensemble Members","2018_0_Black Panther.csv","male","Chadwick","Boseman","B_NL"
"334","Michael B. Jordan","Erik Killmonger","Lead Ensemble Members","2018_0_Black Panther.csv","male","Michael","B. Jordan","W_NL"
"335","Lupita Nyong'o","Nakia","Lead Ensemble Members","2018_0_Black Panther.csv","female","Lupita","Nyong'o","B_NL"
"336","Danai Gurira","Okoye","Lead Ensemble Members","2018_0_Black Panther.csv","female","Danai","Gurira","B_NL"
"337","Martin Freeman","Everett K. Ross","Lead Ensemble Members","2018_0_Black Panther.csv","male","Martin","Freeman","W_NL"
"338","Angela Bassett","Ramonda","Lead Ensemble Members","2018_0_Black Panther.csv","female","Angela","Bassett","B_NL"
"339","Forest Whitaker","Zuri","Lead Ensemble Members","2018_0_Black Panther.csv","male","Forest","Whitaker","B_NL"
"340","Andy Serkis","Ulysses Klaue","Lead Ensemble Members","2018_0_Black Panther.csv","male","Andy","Serkis","W_NL"
"341","Daniel Kaluuya","W’Kabi","Lead Ensemble Members","2018_0_Black Panther.csv","male","Daniel","Kaluuya","B_NL"
"342","Letitia Wright","Shuri","Lead Ensemble Members","2018_0_Black Panther.csv","female","Letitia","Wright","B_NL"
"343","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Robert","Downey","W_NL"
"344","Chris Hemsworth","Thor","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Chris","Hemsworth","W_NL"
"345","Mark Ruffalo","Bruce Banner/Hulk","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Mark","Ruffalo","W_NL"
"346","Chris Evans","Steve Rogers","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Chris","Evans","B_NL"
"347","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female","Scarlett","Johansson","W_NL"
"348","Benedict Cumberbatch","Stephen Strange","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Benedict","Cumberbatch","B_NL"
"349","Don Cheadle","James Rhodes / War Machine","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Don","Cheadle","B_NL"
"350","Tom Holland","Peter Parker/Spider-Man","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Tom","Holland","W_NL"
"351","Chadwick Boseman","T'Challa / Black Panther","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Chadwick","Boseman","B_NL"
"352","Paul Bettany","Vision","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Paul","Bettany","W_NL"
"353","Elizabeth Olsen","Wanda Maximoff/Scarlet Witch","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female","Elizabeth","Olsen","W_NL"
"354","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Sebastian","Stan","W_NL"
"355","Danai Gurira","Okoye","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female","Danai","Gurira","B_NL"
"356","Letitia Wright","Shuri","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female","Letitia","Wright","B_NL"
"357","Dave Bautista","Drax the Destroyer","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Dave","Bautista","HL"
"358","Zoe Saldana","Gamora","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female","Zoe","Saldana","HL"
"359","Josh Brolin","Thanos","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Josh","Brolin","W_NL"
"360","Chris Pratt","Peter Quill/Star-Lord","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Chris","Pratt","W_NL"
"361","Benedict Wong","Wong","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Benedict","Wong","A"
"362","Pom Klementieff","Mantis","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Pom","Klementieff","A"
"363","Karen Gillan","Nebula","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","female","Karen","Gillan","W_NL"
"364","Vin Diesel","Groot","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Vin","Diesel","W_NL"
"365","Bradley Cooper","Rocket Raccoon","Lead Ensemble Members","2018_1_Avengers_ Infinity War.csv","male","Bradley","Cooper","W_NL"
"366","Craig T. Nelson","Bob Parr / Mr. Incredible","Lead Ensemble Members","2018_2_Incredibles 2.csv","male","Craig","T. Nelson","B_NL"
"367","Holly Hunter","Helen Parr / Elastigirl","Lead Ensemble Members","2018_2_Incredibles 2.csv","female","Holly","Hunter","W_NL"
"368","Sarah Vowell","Violet Parr","Lead Ensemble Members","2018_2_Incredibles 2.csv","female","Sarah","Vowell","W_NL"
"369","Huckleberry Milner","Dashiell “Dash” Robert Parr","Lead Ensemble Members","2018_2_Incredibles 2.csv","male","Huckleberry","Milner","B_NL"
"370","Samuel L. Jackson","Lucius Best / Frozone","Lead Ensemble Members","2018_2_Incredibles 2.csv","male","Samuel","L. Jackson","B_NL"
"371","Chris Pratt","Owen Grady","Leading Cast","2018_3_Jurassic World_ Fallen Kingdom.csv","male","Chris","Pratt","W_NL"
"372","Bryce Dallas Howard","Claire Dearing","Leading Cast","2018_3_Jurassic World_ Fallen Kingdom.csv","male","Bryce","Dallas Howard","W_NL"
"373","Jason Momoa","Arthur Curry/Aquaman","Lead Ensemble Members","2018_4_Aquaman.csv","male","Jason","Momoa","B_NL"
"374","Amber Heard","Mera","Lead Ensemble Members","2018_4_Aquaman.csv","female","Amber","Heard","B_NL"
"375","Willem Dafoe","Dr. Nuidis Vulko","Lead Ensemble Members","2018_4_Aquaman.csv","male","Willem","Dafoe","W_NL"
"376","Patrick Wilson","Orm Marius / Ocean Master","Lead Ensemble Members","2018_4_Aquaman.csv","male","Patrick","Wilson","B_NL"
"377","Nicole Kidman","Atlanna","Lead Ensemble Members","2018_4_Aquaman.csv","female","Nicole","Kidman","W_NL"
"378","Dolph Lundgren","Nereus","Lead Ensemble Members","2018_4_Aquaman.csv","male","Dolph","Lundgren","W_NL"
"379","Yahya Abdul-Mateen II","David Hyde / Black Manta","Lead Ensemble Members","2018_4_Aquaman.csv","male","Yahya","Abdul-Mateen ","W_NL"
"380","Ryan Reynolds","Wade Wilson / Deadpool","Lead Ensemble Members","2018_5_Deadpool 2.csv","male","Ryan","Reynolds","W_NL"
"381","Josh Brolin","Nathan Summers/Cable","Lead Ensemble Members","2018_5_Deadpool 2.csv","male","Josh","Brolin","W_NL"
"382","Morena Baccarin","Vanessa","Lead Ensemble Members","2018_5_Deadpool 2.csv","female","Morena","Baccarin","W_NL"
"383","T.J. Miller","Weasel","Lead Ensemble Members","2018_5_Deadpool 2.csv","male","T.J.","Miller","W_NL"
"384","Leslie Uggams","Blind Al","Lead Ensemble Members","2018_5_Deadpool 2.csv","female","Leslie","Uggams","B_NL"
"385","Brianna Hildebrand","Negasonic Teenage Warhead","Lead Ensemble Members","2018_5_Deadpool 2.csv","female","Brianna","Hildebrand","W_NL"
"386","Stefan Kapicic","Colossus","Lead Ensemble Members","2018_5_Deadpool 2.csv","male","Stefan","Kapicic","W_NL"
"387","Zazie Beetz","Neena Thurman/Domino","Lead Ensemble Members","2018_5_Deadpool 2.csv","female","Zazie","Beetz","W_NL"
"388","Karan Soni","Dopinder","Lead Ensemble Members","2018_5_Deadpool 2.csv","male","Karan","Soni","A"
"389","Benedict Cumberbatch","Grinch","Leading Cast","2018_6_Dr. Seuss’ The Grinch.csv","male","Benedict","Cumberbatch","B_NL"
"390","Tom Cruise","Ethan Hunt","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male","Tom","Cruise","W_NL"
"391","Henry Cavill","August Walker","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male","Henry","Cavill","W_NL"
"392","Ving Rhames","Luther Stickell","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male","Ving","Rhames","B_NL"
"393","Simon Pegg","Benjamin “Benji” Dunn","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male","Simon","Pegg","W_NL"
"394","Rebecca Ferguson","Ilsa Faust","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","female","Rebecca","Ferguson","W_NL"
"395","Sean Harris","Solomon Lane","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male","Sean","Harris","B_NL"
"396","Angela Bassett","Erica Sloan","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","female","Angela","Bassett","B_NL"
"397","Michelle Monaghan","Julia Meade-Hunt","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","female","Michelle","Monaghan","W_NL"
"398","Alec Baldwin","Secretary Alan Hunley","Lead Ensemble Members","2018_7_Mission_ Impossible—Fallout.csv","male","Alec","Baldwin","W_NL"
"399","Paul Rudd","Scott Lang/Ant-Man","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male","Paul","Rudd","W_NL"
"400","Evangeline Lilly","Hope van Dyne/The Wasp","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female","Evangeline","Lilly","B_NL"
"401","Michael Peña","Luis","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male","Michael","Peña","HL"
"402","Walton Goggins","Sonny Burch","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male","Walton","Goggins","B_NL"
"403","Hannah John-Kamen","Ava Starr/Ghost","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female","Hannah","John-Kamen","W_NL"
"404","Michelle Pfeiffer","Janet van Dyne","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female","Michelle","Pfeiffer","W_NL"
"405","Laurence Fishburne","Dr. Bill Foster/Goliath","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","female","Laurence","Fishburne","B_NL"
"406","Michael Douglas","Dr. Hank Pym","Lead Ensemble Members","2018_8_Ant-Man and the Wasp.csv","male","Michael","Douglas","B_NL"
"407","Rami Malek","Freddie Mercury","Leading Cast","2018_9_Bohemian Rhapsody.csv","male","Rami","Malek","W_NL"
"408","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male","Robert","Downey","W_NL"
"409","Chris Evans","Steve Rogers/Captain America","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male","Chris","Evans","B_NL"
"410","Mark Ruffalo","Bruce Banner/Hulk","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male","Mark","Ruffalo","W_NL"
"411","Chris Hemsworth","Thor","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male","Chris","Hemsworth","W_NL"
"412","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","female","Scarlett","Johansson","W_NL"
"413","Jeremy Renner","Clint Barton/Hawkeye","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male","Jeremy","Renner","W_NL"
"414","Don Cheadle","James “Rhodey” Rhodes/War Machine","Lead Ensemble Members","2019_0_Avengers_ Endgame.csv","male","Don","Cheadle","B_NL"
