,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Toy Story 3,Walt Disney,"$415,004,880","$110,307,189",4028,https://www.the-numbers.com/movie/Toy-Story-3#tab=summary
1,2,Alice in Wonderland,Walt Disney,"$334,191,110","$116,101,023",3739,https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary
2,3,Iron Man 2,Paramount…,"$312,433,331","$128,122,480",4390,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
3,4,The Twilight Saga: Eclipse,Summit En…,"$300,531,751","$64,832,191",4468,https://www.the-numbers.com/movie/Twilight-Saga-Eclipse-The#tab=summary
4,5,Harry Potter and the Deathly Hallows: Part I,Warner Bros.,"$296,131,568","$125,017,372",4125,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary
5,6,Inception,Warner Bros.,"$292,576,195","$62,785,337",3792,https://www.the-numbers.com/movie/Inception#tab=summary
6,7,Despicable Me,Universal,"$251,513,985","$56,397,125",3602,https://www.the-numbers.com/movie/Despicable-Me#tab=summary
7,8,Shrek Forever After,Paramount…,"$238,736,787","$70,838,207",4386,https://www.the-numbers.com/movie/Shrek-Forever-After-(2010)#tab=summary
8,9,How to Train Your Dragon,Paramount…,"$217,581,232","$43,732,319",4060,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon#tab=summary
9,10,Tangled,Walt Disney,"$200,821,936","$48,767,052",3603,https://www.the-numbers.com/movie/Tangled#tab=summary
10,11,The Karate Kid,Sony Pict…,"$176,591,618","$55,665,805",3740,https://www.the-numbers.com/movie/Karate-Kid-The-(2009)#tab=summary
11,12,Tron: Legacy,Walt Disney,"$172,062,763","$44,026,211",3451,https://www.the-numbers.com/movie/Tron-Legacy#tab=summary
12,13,True Grit,Paramount…,"$171,243,005","$24,830,443",3464,https://www.the-numbers.com/movie/True-Grit-(2010)#tab=summary
13,14,Clash of the Titans,Warner Bros.,"$163,214,888","$61,235,105",3802,https://www.the-numbers.com/movie/Clash-of-the-Titans-(2010)#tab=summary
14,15,Grown Ups,Sony Pict…,"$162,001,186","$40,506,564",3534,https://www.the-numbers.com/movie/Grown-Ups#tab=summary
15,16,Little Fockers,Universal,"$148,438,600","$30,833,665",3675,https://www.the-numbers.com/movie/Little-Fockers#tab=summary
16,17,Megamind,Paramount…,"$148,415,853","$46,016,833",3949,https://www.the-numbers.com/movie/Megamind#tab=summary
17,18,The King’s Speech,Weinstein…,"$138,797,449","$355,450",2584,https://www.the-numbers.com/movie/Kings-Speech-The#tab=summary
18,19,The Last Airbender,Paramount…,"$131,772,187","$40,325,019",3203,https://www.the-numbers.com/movie/Last-Airbender-The#tab=summary
19,20,Shutter Island,Paramount…,"$128,012,934","$41,062,440",3356,https://www.the-numbers.com/movie/Shutter-Island#tab=summary
20,21,The Other Guys,Sony Pict…,"$119,219,978","$35,543,162",3651,https://www.the-numbers.com/movie/Other-Guys-The-(2010)#tab=summary
21,22,Salt,Sony Pict…,"$118,311,368","$36,011,243",3612,https://www.the-numbers.com/movie/Salt#tab=summary
