,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Spider-Man: No Way Home,Sony Pict…,"$814,115,070","$260,138,569",4336,https://www.the-numbers.com/movie/Spider-Man-No-Way-Home-(2021)#tab=summary
1,2,Shang-Chi and the Legend of the Ten Rings,Walt Disney,"$224,543,292","$75,388,688",4300,https://www.the-numbers.com/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary
2,3,Venom: Let There be Carnage,Sony Pict…,"$213,550,366","$90,033,210",4225,https://www.the-numbers.com/movie/Venom-Let-There-be-Carnage#tab=summary
3,4,Black Widow,Walt Disney,"$183,651,655","$80,366,312",4275,https://www.the-numbers.com/movie/Black-Widow-(2021)#tab=summary
4,5,F9: The Fast Saga,Universal,"$173,005,945","$70,043,165",4203,https://www.the-numbers.com/movie/F9-The-Fast-Saga-(2021)#tab=summary
5,6,Eternals,Walt Disney,"$164,870,264","$71,297,219",4090,https://www.the-numbers.com/movie/Eternals-(2021)#tab=summary
6,7,Sing 2,Universal,"$162,790,990","$22,326,230",3892,https://www.the-numbers.com/movie/Sing-2-(2021)#tab=summary
7,8,No Time to Die,United Ar…,"$160,891,007","$55,225,007",4407,https://www.the-numbers.com/movie/No-Time-to-Die-(2021)#tab=summary
8,9,A Quiet Place: Part II,Paramount…,"$160,215,764","$47,547,231",3744,https://www.the-numbers.com/movie/Quiet-Place-Part-II-A-(2020)#tab=summary
9,10,Ghostbusters: Afterlife,Sony Pict…,"$129,360,575","$44,008,406",4315,https://www.the-numbers.com/movie/Ghostbusters-Afterlife#tab=summary
10,11,Free Guy,20th Cent…,"$121,626,598","$28,365,416",4165,https://www.the-numbers.com/movie/Free-Guy-(2020)#tab=summary
11,12,Jungle Cruise,Walt Disney,"$116,987,516","$35,018,731",4310,https://www.the-numbers.com/movie/Jungle-Cruise-(2021)#tab=summary
12,13,Dune,Warner Bros.,"$108,327,830","$41,011,174",4125,https://www.the-numbers.com/movie/Dune-(2020)#tab=summary
