,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
41,42,The Broken Hearts Gallery,Sony Pict…,"$4,066,487","$1,126,401",2221,https://www.the-numbers.com/movie/Broken-Hearts-Gallery-The#tab=summary
42,43,Infidel,Cloudburs…,"$4,051,990","$1,384,296",1885,https://www.the-numbers.com/movie/Infidel-(2020)#tab=summary
43,44,Portrait de la jeune fille en feu,Neon,"$3,759,854","$67,344",334,https://www.the-numbers.com/movie/Portrait-de-la-jeune-fille-en-feu-(France)#tab=summary
44,45,Bill & Ted Face the Music,United Ar…,"$3,439,660","$1,125,007",1007,https://www.the-numbers.com/movie/Bill-and-Ted-Face-the-Music-(2020)#tab=summary
45,46,2020 Oscar Shorts,ShortsHD,"$3,304,748","$1,155,505",536,https://www.the-numbers.com/movie/2020-Oscar-Shorts#tab=summary
46,47,The Empty Man,20th Cent…,"$2,995,698","$1,310,326",2051,https://www.the-numbers.com/movie/Empty-Man-The-(2020)#tab=summary
47,48,Las Pildoras De Mi Novio,Lionsgate,"$2,971,116","$1,396,140",350,https://www.the-numbers.com/movie/Pildoras-De-Mi-Novio-Las-(Mexico)#tab=summary
48,49,Minari,A24,"$2,964,816",,912,https://www.the-numbers.com/movie/Minari#tab=summary
49,50,The Last Full Measure,Roadside …,"$2,949,212","$1,058,019",617,https://www.the-numbers.com/movie/Last-Full-Measure-The#tab=summary
50,51,Words on Bathroom Walls,Roadside …,"$2,542,518","$432,968",1395,https://www.the-numbers.com/movie/Words-on-Bathroom-Walls#tab=summary
51,52,After We Collided,,"$2,386,483",,546,https://www.the-numbers.com/movie/After-We-Collided#tab=summary
52,53,Half Brothers,Focus Fea…,"$2,241,980","$700,160",1386,https://www.the-numbers.com/movie/Half-Brothers-(2020)#tab=summary
53,54,Scoob!,Warner Bros.,"$2,188,425","$850,000",2500,https://www.the-numbers.com/movie/Scoob#tab=summary
54,55,The Lodge,Neon,"$2,138,907","$76,251",395,https://www.the-numbers.com/movie/Lodge-The-(2019)#tab=summary
55,56,The Personal History of David Copperfield,Searchlig…,"$1,876,298","$475,800",1550,https://www.the-numbers.com/movie/Personal-History-of-David-Copperfield-The-(UK)#tab=summary
56,57,Pinocchio,Roadside …,"$1,831,718","$272,109",824,https://www.the-numbers.com/movie/Pinocchio-(Italy)(2019)#tab=summary
57,58,The Wretched,IFC Midnight,"$1,815,440","$65,908",101,https://www.the-numbers.com/movie/Wretched-The#tab=summary
58,59,The Rental,IFC Films,"$1,637,548","$403,852",250,https://www.the-numbers.com/movie/Rental-The#tab=summary
59,60,2 Hearts,Freestyle…,"$1,349,284","$522,937",1683,https://www.the-numbers.com/movie/2-Hearts-(2020)#tab=summary
60,61,Ban-do,,"$1,224,525","$118,647",151,https://www.the-numbers.com/movie/Ban-do-(South-Korea)#tab=summary
61,62,Met Opera — Agrippina,Fathom Ev…,"$1,150,000","$1,150,000",1000,https://www.the-numbers.com/movie/Met-Opera-Agrippina-(2020)#tab=summary
62,63,True to the Game 2: Gena’s Story,Faith Med…,"$1,117,808","$290,000",281,https://www.the-numbers.com/movie/True-to-the-Game-2-Genas-Story#tab=summary
63,64,The Assistant,Bleecker …,"$1,100,310","$79,141",167,https://www.the-numbers.com/movie/Assistant-The#tab=summary
64,65,Love and Monsters,Paramount…,"$1,070,714","$270,302",387,https://www.the-numbers.com/movie/Love-and-Monsters-(2020)#tab=summary
65,66,Relic,IFC Midnight,"$1,047,083","$192,352",133,https://www.the-numbers.com/movie/Relic-(Australia)#tab=summary
66,67,The Tax Collector,RLJ Enter…,"$1,044,212","$309,694",138,https://www.the-numbers.com/movie/Tax-Collector-The#tab=summary
67,68,Becky,Quiver,"$1,002,852","$205,797",50,https://www.the-numbers.com/movie/Becky#tab=summary
68,69,Beureikeu deo sa illeonseu,Trafalgar…,"$1,000,000","$1,000,000",515,https://www.the-numbers.com/movie/Beureikeu-deo-sa-illeonseu-(2020-South-Korea)#tab=summary
69,70,All My Life,Universal,"$913,935","$370,315",970,https://www.the-numbers.com/movie/All-My-Life-(2020)#tab=summary
70,71,Met Opera: Wozzeck,Fathom Ev…,"$863,000","$863,000",1000,https://www.the-numbers.com/movie/Met-Opera-Wozzeck-(2020)#tab=summary
71,72,Cut Throat City,Well Go USA,"$855,894",,389,https://www.the-numbers.com/movie/Cut-Throat-City#tab=summary
72,73,Sarileru Neekevvaru,Great Ind…,"$821,000","$821,000",300,https://www.the-numbers.com/movie/Sarileru-Neekevvaru-(India)#tab=summary
73,74,Ji Xian Feng,Gravitas …,"$793,525","$380,428",1375,https://www.the-numbers.com/movie/Ji-Xian-Feng-(China)#tab=summary
74,75,Color Out of Space,RLJ Enter…,"$765,561","$216,162",81,https://www.the-numbers.com/movie/Color-Out-of-Space#tab=summary
75,76,Shortcut,Gravitas …,"$758,223","$279,125",725,https://www.the-numbers.com/movie/Shortcut-(2020-Italy)#tab=summary
76,77,Possessor,Neon,"$752,885","$252,664",320,https://www.the-numbers.com/movie/Possessor-(Canada)#tab=summary
77,78,Baaghi 3,FIP,"$721,439","$509,616",265,https://www.the-numbers.com/movie/Baaghi-3-(India)#tab=summary
78,79,The Last Vermeer,Sony Pict…,"$685,380","$225,691",912,https://www.the-numbers.com/movie/Last-Vermeer-The#tab=summary
79,80,The Last Shift,Sony Pict…,"$643,658","$246,491",886,https://www.the-numbers.com/movie/Last-Shift-The-(2020)#tab=summary
80,81,Synchronic,Well Go USA,"$636,673","$245,561",327,https://www.the-numbers.com/movie/Synchronic#tab=summary
81,82,Chhapaak,FIP,"$604,334","$316,781",100,https://www.the-numbers.com/movie/Chhapaak-(India)#tab=summary
82,83,Panga,FIP,"$582,720","$285,689",102,https://www.the-numbers.com/movie/Panga-(India)#tab=summary
83,84,Alone,Magnolia …,"$538,358","$182,473",174,https://www.the-numbers.com/movie/Alone-(2020-Dir-John-Hyams)#tab=summary
84,85,Followed,Global Vi…,"$538,179","$152,825",100,https://www.the-numbers.com/movie/Followed#tab=summary
85,86,Kajillionaire,Focus Fea…,"$531,430","$215,675",547,https://www.the-numbers.com/movie/Kajillionaire#tab=summary
86,87,The Call,Atlas Dis…,"$516,520","$138,237",195,https://www.the-numbers.com/movie/Call-The-(Dir-Timothy-Woodward-Jr)#tab=summary
87,88,The Big Ugly,Vertical …,"$514,107","$152,598",68,https://www.the-numbers.com/movie/Big-Ugly-The#tab=summary
88,89,The Forgotten Carols,Purdie Di…,"$502,252","$104,798",70,https://www.the-numbers.com/movie/Forgotten-Carols-The-(2020)#tab=summary
89,90,Spell,Paramount…,"$500,104","$206,591",369,https://www.the-numbers.com/movie/Spell-(2020)#tab=summary
90,91,Ava,Vertical …,"$497,747","$170,349",252,https://www.the-numbers.com/movie/Ava-(2020)#tab=summary
91,92,CatVideoFest 2020,Oscillosc…,"$478,775","$217,927",84,https://www.the-numbers.com/movie/CatVideoFest-(2020)#tab=summary
92,93,Once Were Brothers: Robbie Robertson and The Band,Magnolia …,"$449,561","$37,828",152,https://www.the-numbers.com/movie/Once-Were-Brothers-Robbie-Robertson-and-The-Band#tab=summary
93,94,Seberg,Amazon St…,"$448,009","$47,180",373,https://www.the-numbers.com/movie/Seberg-(2019)#tab=summary
94,95,Infamous,Vertical …,"$429,148","$160,371",58,https://www.the-numbers.com/movie/Infamous-(2020)#tab=summary
95,96,Tulsa,Self Dist…,"$413,522","$78,393",192,https://www.the-numbers.com/movie/Tulsa-(2020)#tab=summary
96,97,Buddy Games,Paramount…,"$405,904","$150,497",401,https://www.the-numbers.com/movie/Buddy-Games-(2020)#tab=summary
97,98,Yellow Rose,Sony Pict…,"$367,849","$150,330",900,https://www.the-numbers.com/movie/Yellow-Rose-(2019-Philippines)#tab=summary
98,99,The Kid Detective,Sony Pict…,"$364,138","$140,218",865,https://www.the-numbers.com/movie/Kid-Detective-The-(2020-Canada)#tab=summary
99,100,Greed,Sony Pict…,"$355,308","$24,163",596,https://www.the-numbers.com/movie/Greed-(UK)#tab=summary
