,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Bad Boys For Life,Sony Pict…,"$204,417,855","$62,504,105",3775,https://www.the-numbers.com/movie/Bad-Boys-For-Life-(Bad-Boys-3)-(2020)#tab=summary
1,2,Sonic The Hedgehog,Paramount…,"$146,066,470","$58,018,348",4198,https://www.the-numbers.com/movie/Sonic-The-Hedgehog-(Japan)-(2020)#tab=summary
2,3,Birds of Prey (And the Fantabulous Emancipation…,Warner Bros.,"$84,158,461","$33,010,017",4236,https://www.the-numbers.com/movie/Birds-of-Prey-(And-the-Fantabulous-Emancipation-of-One-Harley-Quinn)-(2020)#tab=summary
3,4,Dolittle,Universal,"$77,047,065","$21,844,045",4155,https://www.the-numbers.com/movie/Dolittle#tab=summary
4,5,The Invisible Man,Universal,"$64,914,050","$28,205,665",3636,https://www.the-numbers.com/movie/Invisible-Man-The-(2020)#tab=summary
5,6,The Call of the Wild,20th Cent…,"$62,342,368","$24,791,624",3914,https://www.the-numbers.com/movie/Call-of-the-Wild-The-(2020)#tab=summary
6,7,Onward,Walt Disney,"$61,555,145","$39,119,861",4310,https://www.the-numbers.com/movie/Onward-(2020)#tab=summary
7,8,The Croods: A New Age,Universal,"$58,568,815","$9,724,200",2211,https://www.the-numbers.com/movie/Croods-A-New-Age-The-(2020)#tab=summary
8,9,Tenet,Warner Bros.,"$58,504,105","$20,001,852",2930,https://www.the-numbers.com/movie/Tenet-(2020)#tab=summary
9,10,Wonder Woman 1984,Warner Bros.,"$46,801,036","$16,701,957",2218,https://www.the-numbers.com/movie/Wonder-Woman-1984-(2020)#tab=summary
10,11,The Gentlemen,STX Enter…,"$36,471,796","$10,651,884",2675,https://www.the-numbers.com/movie/Gentlemen-The#tab=summary
11,12,Fantasy Island,Sony Pict…,"$26,441,782","$12,310,420",2784,https://www.the-numbers.com/movie/Fantasy-Island-(2020)#tab=summary
12,13,The New Mutants,20th Cent…,"$23,855,569","$7,037,017",2754,https://www.the-numbers.com/movie/New-Mutants-The-(2020)#tab=summary
13,14,Like a Boss,Paramount…,"$22,169,514","$10,011,272",3081,https://www.the-numbers.com/movie/Like-a-Boss#tab=summary
14,15,The War with Grandpa,101 Studios,"$21,277,892","$3,623,880",2365,https://www.the-numbers.com/movie/War-with-Grandpa-The-(2020)#tab=summary
15,16,The Grudge,Sony Pict…,"$21,216,148","$11,404,113",2642,https://www.the-numbers.com/movie/Grudge-The-(2020)#tab=summary
16,17,Unhinged,,"$20,831,465","$601,032",2402,https://www.the-numbers.com/movie/Unhinged-(2020)#tab=summary
17,18,The Photograph,Universal,"$20,578,185","$12,181,865",2516,https://www.the-numbers.com/movie/Photograph-The-(2020)#tab=summary
18,19,Underwater,20th Cent…,"$17,291,078","$7,008,297",2791,https://www.the-numbers.com/movie/Underwater-(2020)#tab=summary
19,20,The Turning,Universal,"$15,472,775","$6,950,045",2571,https://www.the-numbers.com/movie/Turning-The-(2020)#tab=summary
20,21,Gretel & Hansel,United Ar…,"$15,347,654","$6,154,007",3007,https://www.the-numbers.com/movie/Gretel-and-Hansel-(2020)#tab=summary
21,22,Monster Hunter,Sony Pict…,"$15,162,470","$2,201,269",1817,https://www.the-numbers.com/movie/Monster-Hunter-(2020)#tab=summary
22,23,Honest Thief,,"$14,163,574",,2502,https://www.the-numbers.com/movie/Honest-Thief-(2020)#tab=summary
23,24,The Way Back,Warner Bros.,"$13,590,514","$8,170,315",2718,https://www.the-numbers.com/movie/Way-Back-The-(2020)#tab=summary
24,25,Boku no Hīrō Akademia The Movie Hīrōzu: Raijing…,FUNimation,"$13,553,826","$5,891,252",1275,https://www.the-numbers.com/movie/Boku-no-Hiro-Akademia-The-Movie-Hirozu-Raijingu-(Japan)#tab=summary
25,26,News of the World,Universal,"$12,668,325","$2,250,430",1986,https://www.the-numbers.com/movie/News-of-the-World#tab=summary
26,27,Brahms: The Boy II,STX Enter…,"$12,611,536","$5,823,006",2151,https://www.the-numbers.com/movie/Brahms-The-Boy-II-(2020)#tab=summary
27,28,Come Play,Focus Fea…,"$10,475,990","$3,119,875",2213,https://www.the-numbers.com/movie/Come-Play-(2020)#tab=summary
28,29,Impractical Jokers: The Movie,truTV,"$10,466,091","$2,607,049",1900,https://www.the-numbers.com/movie/Impractical-Jokers-The-Movie#tab=summary
29,30,I Still Believe,Lionsgate,"$10,410,004","$9,103,614",3250,https://www.the-numbers.com/movie/I-Still-Believe-(2020)#tab=summary
30,31,Emma.,Focus Fea…,"$10,055,355","$234,482",1732,https://www.the-numbers.com/movie/Emma-(UK)#tab=summary
31,32,Bloodshot,Sony Pict…,"$10,021,787","$9,176,695",2861,https://www.the-numbers.com/movie/Bloodshot-(2020)#tab=summary
32,33,Let Him Go,Focus Fea…,"$9,358,025","$4,000,470",2458,https://www.the-numbers.com/movie/Let-Him-Go-(2020)#tab=summary
33,34,Freaky,Universal,"$9,030,855","$3,600,355",2472,https://www.the-numbers.com/movie/Freaky-(2020)#tab=summary
34,35,Downhill,Searchlig…,"$8,287,061","$4,622,018",2311,https://www.the-numbers.com/movie/Downhill#tab=summary
35,36,Tenki no Ko,GKIDS,"$8,056,636","$1,808,533",1020,https://www.the-numbers.com/movie/Tenki-no-Ko-(Japan)#tab=summary
36,37,Promising Young Woman,Focus Fea…,"$6,460,965","$719,305",1448,https://www.the-numbers.com/movie/Promising-Young-Woman#tab=summary
37,38,Fatale,Lionsgate,"$6,306,897","$918,112",1222,https://www.the-numbers.com/movie/Fatale-(2020)#tab=summary
38,39,The Hunt,Universal,"$5,812,500","$5,304,455",3028,https://www.the-numbers.com/movie/Hunt-The-(2020)#tab=summary
39,40,The Rhythm Section,Paramount…,"$5,437,971","$2,715,384",3049,https://www.the-numbers.com/movie/Rhythm-Section-The-(UK)#tab=summary
40,41,The SpongeBob Movie: Sponge on the Run,Paramount…,"$4,810,790","$865,824",326,https://www.the-numbers.com/movie/SpongeBob-Movie-Sponge-on-the-Run-The-(2020)#tab=summary
