,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Star Wars Ep. VII: The Force Awakens,Walt Disney,"$936,662,225","$247,966,675",4134,https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
1,2,Jurassic World,Universal,"$652,306,625","$208,806,270",4291,https://www.the-numbers.com/movie/Jurassic-World#tab=summary
2,3,Avengers: Age of Ultron,Walt Disney,"$459,005,868","$191,271,109",4276,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
3,4,Inside Out,Walt Disney,"$356,461,711","$90,440,272",4158,https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary
4,5,Furious 7,Universal,"$353,007,020","$147,187,040",4022,https://www.the-numbers.com/movie/Furious-7#tab=summary
5,6,Minions,Universal,"$336,045,770","$115,718,405",4311,https://www.the-numbers.com/movie/Minions#tab=summary
6,7,The Hunger Games: Mockingjay - Part 2,Lionsgate,"$281,723,902","$102,665,981",4175,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary
7,8,The Martian,20th Cent…,"$228,433,663","$54,308,575",3854,https://www.the-numbers.com/movie/Martian-The#tab=summary
8,9,Cinderella,Walt Disney,"$201,151,353","$67,877,361",3848,https://www.the-numbers.com/movie/Cinderella-(2015)#tab=summary
9,10,Spectre,Sony Pict…,"$200,074,175","$70,403,148",3929,https://www.the-numbers.com/movie/Spectre#tab=summary
10,11,Mission: Impossible—Rogue Nation,Paramount…,"$195,042,377","$55,520,089",3988,https://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary
11,12,Pitch Perfect 2,Universal,"$184,296,230","$69,216,890",3660,https://www.the-numbers.com/movie/Pitch-Perfect-2#tab=summary
12,13,The Revenant,20th Cent…,"$183,637,894","$474,560",3711,https://www.the-numbers.com/movie/Revenant-The-(2015)#tab=summary
13,14,Ant-Man,Walt Disney,"$180,202,163","$57,225,526",3868,https://www.the-numbers.com/movie/Ant-Man#tab=summary
14,15,Home,20th Cent…,"$177,397,510","$52,107,731",3801,https://www.the-numbers.com/movie/Home-(2015)#tab=summary
