,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Black Panther,Walt Disney,"$700,059,566","$202,003,951",4084,https://www.the-numbers.com/movie/Black-Panther#tab=summary
1,2,Avengers: Infinity War,Walt Disney,"$678,815,482","$257,698,183",4474,https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
2,3,Incredibles 2,Walt Disney,"$608,581,744","$182,687,905",4413,https://www.the-numbers.com/movie/Incredibles-2#tab=summary
3,4,Jurassic World: Fallen Kingdom,Universal,"$417,719,760","$148,024,610",4485,https://www.the-numbers.com/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary
4,5,Aquaman,Warner Bros.,"$335,061,807","$67,873,522",4184,https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary
5,6,Deadpool 2,20th Cent…,"$324,591,735","$125,507,153",4349,https://www.the-numbers.com/movie/Deadpool-2#tab=summary
6,7,Dr. Seuss’ The Grinch,Universal,"$270,834,950","$67,572,855",4141,https://www.the-numbers.com/movie/Dr-Seuss-The-Grinch-(2018)#tab=summary
7,8,Mission: Impossible—Fallout,Paramount…,"$220,159,104","$61,236,534",4395,https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary
8,9,Ant-Man and the Wasp,Walt Disney,"$216,648,740","$75,812,205",4206,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary
9,10,Bohemian Rhapsody,20th Cent…,"$216,303,339","$51,061,119",4000,https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018)#tab=summary
10,11,A Star is Born,Warner Bros.,"$215,288,866","$42,908,051",3904,https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=summary
11,12,Solo: A Star Wars Story,Walt Disney,"$213,767,512","$84,420,489",4381,https://www.the-numbers.com/movie/Solo-A-Star-Wars-Story#tab=summary
12,13,Venom,Sony Pict…,"$213,511,408","$80,255,756",4250,https://www.the-numbers.com/movie/Venom-(2018)#tab=summary
13,14,Ralph Breaks The Internet,Walt Disney,"$201,091,711","$56,237,634",4017,https://www.the-numbers.com/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary
14,15,Spider-Man: Into The Spider-Verse 3D,Sony Pict…,"$190,173,195","$35,363,376",3813,https://www.the-numbers.com/movie/Spider-Man-Into-The-Spider-Verse-3D-(2018)#tab=summary
15,16,A Quiet Place,Paramount…,"$188,024,361","$50,203,562",3808,https://www.the-numbers.com/movie/Quiet-Place-A-(2018)#tab=summary
16,17,Crazy Rich Asians,Warner Bros.,"$174,532,921","$26,510,140",3865,https://www.the-numbers.com/movie/Crazy-Rich-Asians-(2018)#tab=summary
17,18,Mary Poppins Returns,Walt Disney,"$171,958,438","$23,523,121",4090,https://www.the-numbers.com/movie/Mary-Poppins-Returns-(2018)#tab=summary
18,19,Hotel Transylvania 3: Summer Vacation,Sony Pict…,"$167,500,092","$44,076,225",4267,https://www.the-numbers.com/movie/Hotel-Transylvania-3-Summer-Vacation#tab=summary
19,20,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,"$159,555,901","$62,163,104",4163,https://www.the-numbers.com/movie/Fantastic-Beasts-The-Crimes-of-Grindelwald-(2018)#tab=summary
20,21,Halloween,Universal,"$159,366,015","$76,221,545",3990,https://www.the-numbers.com/movie/Halloween-(2018)#tab=summary
21,22,The Meg,Warner Bros.,"$145,443,742","$45,402,195",4118,https://www.the-numbers.com/movie/Meg-The#tab=summary
22,23,Ocean’s 8,Warner Bros.,"$140,218,711","$41,607,378",4145,https://www.the-numbers.com/movie/Oceans-8-(2018)#tab=summary
23,24,Ready Player One,Warner Bros.,"$137,690,172","$41,769,050",4234,https://www.the-numbers.com/movie/Ready-Player-One#tab=summary
24,25,Bumblebee,Paramount…,"$127,195,589","$21,654,047",3597,https://www.the-numbers.com/movie/Bumblebee#tab=summary
25,26,Mamma Mia: Here We Go Again!,Universal,"$120,634,935","$34,952,180",3514,https://www.the-numbers.com/movie/Mamma-Mia-Here-We-Go-Again#tab=summary
26,27,The Nun,Warner Bros.,"$117,450,119","$53,807,379",3876,https://www.the-numbers.com/movie/Nun-The#tab=summary
27,28,Creed II,MGM,"$115,715,889","$35,574,710",3752,https://www.the-numbers.com/movie/Creed-II-(2018)#tab=summary
28,29,Peter Rabbit,Sony Pict…,"$115,234,093","$25,010,928",3725,https://www.the-numbers.com/movie/Peter-Rabbit-(2018)#tab=summary
29,30,The Mule,Warner Bros.,"$103,804,407","$17,509,431",3329,https://www.the-numbers.com/movie/Mule-The-(2018)#tab=summary
30,31,The Equalizer 2,Sony Pict…,"$102,084,362","$36,011,640",3388,https://www.the-numbers.com/movie/Equalizer-2-The#tab=summary
31,32,Rampage,Warner Bros.,"$101,028,233","$35,753,093",4115,https://www.the-numbers.com/movie/Rampage-(2018)#tab=summary
32,33,A Wrinkle in Time,Walt Disney,"$100,478,608","$33,123,609",3980,https://www.the-numbers.com/movie/Wrinkle-in-Time-A-(2018)#tab=summary
33,34,Fifty Shades Freed,Universal,"$100,407,760","$38,560,195",3768,https://www.the-numbers.com/movie/Fifty-Shades-Freed#tab=summary
34,35,Christopher Robin,Walt Disney,"$99,215,042","$24,585,139",3602,https://www.the-numbers.com/movie/Christopher-Robin-(2018)#tab=summary
35,36,Green Book,Universal,"$85,080,171","$320,429",2648,https://www.the-numbers.com/movie/Green-Book-(2018)#tab=summary
36,37,I Can Only Imagine,Roadside …,"$83,482,352","$17,108,914",2894,https://www.the-numbers.com/movie/I-Can-Only-Imagine-(2018)#tab=summary
37,38,Smallfoot,Warner Bros.,"$83,240,103","$23,045,635",4131,https://www.the-numbers.com/movie/Smallfoot-(2018)#tab=summary
38,39,Night School,Universal,"$77,339,130","$27,257,615",3019,https://www.the-numbers.com/movie/Night-School-(2018)#tab=summary
39,40,The First Purge,Universal,"$69,488,745","$17,374,280",3038,https://www.the-numbers.com/movie/First-Purge-The#tab=summary
40,41,Game Night,Warner Bros.,"$69,179,066","$17,005,332",3502,https://www.the-numbers.com/movie/Game-Night-(2018)#tab=summary
41,42,Book Club,Paramount…,"$68,566,296","$13,582,231",3169,https://www.the-numbers.com/movie/Book-Club-(2018)#tab=summary
42,43,The House with a Clock in its Walls,Universal,"$68,549,695","$26,608,020",3592,https://www.the-numbers.com/movie/House-with-a-Clock-in-its-Walls-The#tab=summary
43,44,Skyscraper,Universal,"$68,420,120","$24,905,015",3822,https://www.the-numbers.com/movie/Skyscraper#tab=summary
44,45,Insidious: The Last Key,Universal,"$67,745,330","$29,581,355",3150,https://www.the-numbers.com/movie/Insidious-The-Last-Key#tab=summary
45,46,Instant Family,Paramount…,"$67,363,237","$14,504,315",3426,https://www.the-numbers.com/movie/Instant-Family-(2018)#tab=summary
46,47,Blockers,Universal,"$60,311,495","$20,556,350",3418,https://www.the-numbers.com/movie/Blockers#tab=summary
47,48,Pacific Rim: Uprising,Universal,"$59,874,525","$28,116,535",3708,https://www.the-numbers.com/movie/Pacific-Rim-Uprising#tab=summary
48,49,Tomb Raider,Warner Bros.,"$58,250,803","$23,633,317",3854,https://www.the-numbers.com/movie/Tomb-Raider-(2018)#tab=summary
49,50,Maze Runner: The Death Cure,20th Cent…,"$58,032,443","$24,167,011",3793,https://www.the-numbers.com/movie/Maze-Runner-The-Death-Cure#tab=summary
50,51,The Nutcracker and the Four Realms,Walt Disney,"$54,858,851","$20,352,491",3766,https://www.the-numbers.com/movie/Nutcracker-and-the-Four-Realms-The-(2018)#tab=summary
51,52,Tag,Warner Bros.,"$54,730,625","$14,947,396",3382,https://www.the-numbers.com/movie/Tag-(2018)#tab=summary
52,53,A Simple Favor,Lionsgate,"$53,548,586","$16,011,689",3102,https://www.the-numbers.com/movie/Simple-Favor-A#tab=summary
53,54,Life of the Party,Warner Bros.,"$53,059,911","$17,886,075",3656,https://www.the-numbers.com/movie/Life-of-the-Party#tab=summary
54,55,The Predator,20th Cent…,"$51,024,708","$24,632,284",4070,https://www.the-numbers.com/movie/Predator-The-(2018)#tab=summary
55,56,Overboard,Lionsgate,"$50,316,123","$14,711,101",2006,https://www.the-numbers.com/movie/Overboard-(Remake)-(2018)#tab=summary
56,57,Sicario: Day of the Soldado,Sony Pict…,"$50,065,850","$19,007,566",3055,https://www.the-numbers.com/movie/Sicario-Day-of-the-Soldado#tab=summary
57,58,BlacKkKlansman,Focus Fea…,"$49,275,340","$10,845,330",1914,https://www.the-numbers.com/movie/BlacKkKlansman#tab=summary
58,59,I Feel Pretty,STX Enter…,"$48,795,601","$16,030,218",3440,https://www.the-numbers.com/movie/I-Feel-Pretty#tab=summary
59,60,Vice,Annapurna…,"$47,836,282","$7,768,371",2534,https://www.the-numbers.com/movie/Vice-(2018)#tab=summary
60,61,Red Sparrow,20th Cent…,"$46,874,505","$16,853,422",3064,https://www.the-numbers.com/movie/Red-Sparrow#tab=summary
61,62,Breaking In,Universal,"$46,840,590","$17,630,285",2537,https://www.the-numbers.com/movie/Breaking-In-(2018)#tab=summary
62,63,Goosebumps 2: Haunted Halloween,Sony Pict…,"$46,697,321","$15,802,225",3723,https://www.the-numbers.com/movie/Goosebumps-2-Haunted-Halloween-(2018)#tab=summary
63,64,12 Strong,Warner Bros.,"$45,819,713","$15,815,025",3018,https://www.the-numbers.com/movie/12-Strong#tab=summary
64,65,Den of Thieves,STX Enter…,"$44,947,622","$15,206,108",2432,https://www.the-numbers.com/movie/Den-of-Thieves#tab=summary
65,66,First Man,Universal,"$44,936,545","$16,006,065",3640,https://www.the-numbers.com/movie/First-Man-(2018)#tab=summary
66,67,Hereditary,A24,"$44,069,456","$13,575,173",2998,https://www.the-numbers.com/movie/Hereditary-(2018)#tab=summary
67,68,Acrimony,Lionsgate,"$43,549,096","$17,170,707",2006,https://www.the-numbers.com/movie/Acrimony#tab=summary
68,69,Sherlock Gnomes,Paramount…,"$43,242,871","$10,604,774",3662,https://www.the-numbers.com/movie/Sherlock-Gnomes-(2018)#tab=summary
69,70,Uncle Drew,Lionsgate,"$42,469,946","$15,242,781",2742,https://www.the-numbers.com/movie/Uncle-Drew#tab=summary
70,71,Widows,20th Cent…,"$42,402,632","$12,361,307",2803,https://www.the-numbers.com/movie/Widows-(2018)#tab=summary
71,72,Truth or Dare,Universal,"$41,411,015","$18,667,855",3068,https://www.the-numbers.com/movie/Truth-or-Dare-(2018)#tab=summary
72,73,Paddington 2,Warner Bros.,"$40,891,591","$11,001,961",3702,https://www.the-numbers.com/movie/Paddington-2#tab=summary
73,74,"Love, Simon",20th Cent…,"$40,826,341","$11,756,244",2434,https://www.the-numbers.com/movie/Love-Simon#tab=summary
74,75,Second Act,STX Enter…,"$39,282,227","$6,489,983",2607,https://www.the-numbers.com/movie/Second-Act-(2018)#tab=summary
75,76,The Commuter,Lionsgate,"$36,343,858","$13,701,452",2892,https://www.the-numbers.com/movie/Commuter-The#tab=summary
76,77,The 15:17 to Paris,Warner Bros.,"$36,276,286","$12,554,286",3042,https://www.the-numbers.com/movie/15-17-to-Paris-The#tab=summary
77,78,Mile 22,STX Enter…,"$36,108,758","$13,710,825",3520,https://www.the-numbers.com/movie/Mile-22-(2018)#tab=summary
78,79,Alpha,Sony Pict…,"$35,851,379","$10,352,512",2881,https://www.the-numbers.com/movie/Alpha-(2018)#tab=summary
79,80,Peppermint,STX Enter…,"$35,418,723","$13,423,255",2980,https://www.the-numbers.com/movie/Peppermint-(2018)#tab=summary
80,81,The Favourite,Fox Searc…,"$34,366,783","$422,410",1554,https://www.the-numbers.com/movie/Favourite-The-(2018)#tab=summary
