,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
76,77,Three Thousand Years of Longing,United Ar…,"$8,286,741","$2,919,717",2436,https://www.the-numbers.com/movie/Three-Thousand-Years-of-Longing-(2022)#tab=summary
77,78,Brahmastra Part 1: Shiva,Fox Star …,"$7,839,108","$4,543,659",810,https://www.the-numbers.com/movie/Brahmastra-Part-1-Shiva-(2022-India)#tab=summary
78,79,Bones and All,United Ar…,"$7,834,907","$121,004",2727,https://www.the-numbers.com/movie/Bones-and-All-(2022)#tab=summary
79,80,Men,A24,"$7,587,853","$3,293,030",2212,https://www.the-numbers.com/movie/Men-(2022-United-Kingdom)#tab=summary
80,81,Memory,Open Road,"$7,329,043","$3,113,298",2555,https://www.the-numbers.com/movie/Memory-(Dir-Martin-Campbell)#tab=summary
81,82,Fall,Lionsgate,"$7,240,521","$2,512,145",1548,https://www.the-numbers.com/movie/Fall-(2022)#tab=summary
82,83,BTS Permission to Dance on Stage Seoul — Live V…,Trafalgar…,"$6,840,000","$6,840,000",803,https://www.the-numbers.com/movie/BTS-Permission-to-Dance-on-Stage-Seoul-Live-Viewing-(2022-South-Korea)#tab=summary
83,84,TÁR,Focus Fea…,"$6,773,650","$158,620",1090,https://www.the-numbers.com/movie/Tar-(2022)#tab=summary
84,85,K.G.F: Chapter 2,Viva Ente…,"$6,604,562","$2,927,234",510,https://www.the-numbers.com/movie/K-G-F-Chapter-2-(2022-India)#tab=summary
85,86,Marcel the Shell with Shoes On,A24,"$6,333,703","$159,403",821,https://www.the-numbers.com/movie/Marcel-the-Shell-with-Shoes-On-(2022)#tab=summary
86,87,She Said,Universal,"$5,825,995","$2,217,010",2023,https://www.the-numbers.com/movie/She-Said-(2022)#tab=summary
87,88,I Heard the Bells,Fathom Ev…,"$5,644,104","$2,016,504",1204,https://www.the-numbers.com/movie/I-Heard-the-Bells-(2022)#tab=summary
88,89,Women Talking,United Ar…,"$5,456,531","$40,530",707,https://www.the-numbers.com/movie/Women-Talking-(2022)#tab=summary
89,90,Orphan: First Kill,Paramount…,"$5,413,227","$1,739,557",557,https://www.the-numbers.com/movie/Orphan-First-Kill-(2021)#tab=summary
90,91,Lifemark,Fathom Ev…,"$5,007,861","$2,189,456",1605,https://www.the-numbers.com/movie/Lifemark-(2022)#tab=summary
91,92,Ponniyin Selvan: Part One,Sarigama …,"$4,918,000","$4,018,000",500,https://www.the-numbers.com/movie/Ponniyin-Selvan-Part-One-(2022-India)#tab=summary
92,93,Clerks III,Fathom Ev…,"$4,663,106","$674,330",1089,https://www.the-numbers.com/movie/Clerks-III-(2022)#tab=summary
93,94,Triangle of Sadness,Neon,"$4,608,096","$214,602",610,https://www.the-numbers.com/movie/Triangle-of-Sadness#tab=summary
94,95,The Cursed,LD Entert…,"$4,588,389","$1,776,142",1695,https://www.the-numbers.com/movie/Cursed-The-(2022)#tab=summary
95,96,Vengeance,Focus Fea…,"$4,330,720","$1,755,325",1003,https://www.the-numbers.com/movie/Vengeance-(2021)#tab=summary
96,97,Moonage Daydream,Neon,"$4,266,717","$1,230,145",733,https://www.the-numbers.com/movie/Moonage-Daydream-(2022)#tab=summary
97,98,Ryu to sobakasu no hime (竜とそばかすの姫),GKIDS,"$4,018,313","$1,565,658",1338,https://www.the-numbers.com/movie/Ryu-to-sobakasu-no-hime-(2021-Japan)#tab=summary
98,99,Family Camp,Roadside …,"$3,973,263","$1,399,373",1057,https://www.the-numbers.com/movie/Family-Camp-(2022)#tab=summary
99,100,Cyrano,United Ar…,"$3,873,124","$1,385,995",797,https://www.the-numbers.com/movie/Cyrano-(2021)#tab=summary
