,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,American Sniper,Warner Bros.,"$350,126,372","$633,456",3885,https://www.the-numbers.com/movie/American-Sniper#tab=summary
1,2,The Hunger Games: Mockingjay - Part 1,Lionsgate,"$337,135,885","$121,897,634",4151,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary
2,3,Guardians of the Galaxy,Walt Disney,"$333,714,112","$94,320,883",4088,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary
3,4,Captain America: The Winter Soldier,Walt Disney,"$259,746,958","$95,023,721",3938,https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
4,5,The Lego Movie,Warner Bros.,"$257,784,718","$69,050,279",3890,https://www.the-numbers.com/movie/LEGO-Movie-The#tab=summary
5,6,The Hobbit: The Battle of the Five Armies,Warner Bros.,"$255,119,788","$54,724,334",3875,https://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary
6,7,Transformers: Age of Extinction,Paramount…,"$245,439,076","$100,038,390",4233,https://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary
7,8,Maleficent,Walt Disney,"$241,407,328","$69,431,298",3948,https://www.the-numbers.com/movie/Maleficent#tab=summary
8,9,X-Men: Days of Future Past,20th Cent…,"$233,921,534","$90,823,660",4001,https://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary
9,10,Big Hero 6,Walt Disney,"$222,527,828","$56,215,889",3773,https://www.the-numbers.com/movie/Big-Hero-6#tab=summary
10,11,Dawn of the Planet of the Apes,20th Cent…,"$208,545,589","$72,611,427",3969,https://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary
11,12,The Amazing Spider-Man 2,Sony Pict…,"$202,853,933","$91,608,337",4324,https://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary
12,13,Godzilla,Warner Bros.,"$200,676,069","$93,188,384",3952,https://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary
13,14,22 Jump Street,Sony Pict…,"$191,719,337","$57,071,445",3426,https://www.the-numbers.com/movie/22-Jump-Street#tab=summary
14,15,Teenage Mutant Ninja Turtles,Paramount…,"$191,204,754","$65,575,105",3980,https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary
15,16,Interstellar,Paramount…,"$188,017,894","$47,510,360",3561,https://www.the-numbers.com/movie/Interstellar#tab=summary
16,17,How to Train Your Dragon 2,20th Cent…,"$177,002,924","$49,451,322",4268,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary
17,18,Gone Girl,20th Cent…,"$167,767,189","$37,513,109",3284,https://www.the-numbers.com/movie/Gone-Girl#tab=summary
18,19,Divergent,Lionsgate,"$150,947,895","$54,607,747",3936,https://www.the-numbers.com/movie/Divergent#tab=summary
19,20,Neighbors,Universal,"$150,086,800","$49,033,915",3311,https://www.the-numbers.com/movie/Neighbors-(2013)#tab=summary
20,21,Ride Along,Universal,"$134,202,565","$41,516,170",2867,https://www.the-numbers.com/movie/Ride-Along#tab=summary
21,22,Rio 2,20th Cent…,"$131,538,435","$39,327,869",3975,https://www.the-numbers.com/movie/Rio-2#tab=summary
22,23,Into the Woods,Walt Disney,"$128,002,372","$31,051,923",2833,https://www.the-numbers.com/movie/Into-the-Woods#tab=summary
23,24,Lucy,Universal,"$126,573,960","$43,899,340",3202,https://www.the-numbers.com/movie/Lucy#tab=summary
24,25,The Fault in Our Stars,20th Cent…,"$124,872,350","$48,002,523",3340,https://www.the-numbers.com/movie/Fault-in-Our-Stars-The#tab=summary
25,26,Unbroken,Universal,"$115,637,895","$30,621,445",3301,https://www.the-numbers.com/movie/Unbroken#tab=summary
26,27,Night at the Museum: Secret of the Tomb,20th Cent…,"$113,746,621","$17,100,520",3914,https://www.the-numbers.com/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary
27,28,Mr. Peabody & Sherman,20th Cent…,"$111,506,430","$32,207,057",3951,https://www.the-numbers.com/movie/Mr-Peabody-and-Sherman#tab=summary
28,29,300: Rise of an Empire,Warner Bros.,"$106,580,051","$45,038,460",3490,https://www.the-numbers.com/movie/300-Rise-of-an-Empire#tab=summary
29,30,The Maze Runner,20th Cent…,"$102,427,862","$32,512,804",3638,https://www.the-numbers.com/movie/Maze-Runner-The#tab=summary
30,31,The Equalizer,Sony Pict…,"$101,530,738","$34,137,828",3236,https://www.the-numbers.com/movie/Equalizer-The#tab=summary
31,32,Noah,Paramount…,"$101,200,044","$43,720,472",3571,https://www.the-numbers.com/movie/Noah#tab=summary
32,33,Edge of Tomorrow,Warner Bros.,"$100,206,256","$28,760,246",3505,https://www.the-numbers.com/movie/Edge-of-Tomorrow#tab=summary
33,34,Non-Stop,Universal,"$91,742,160","$28,875,635",3183,https://www.the-numbers.com/movie/Non-Stop-(2013)#tab=summary
34,35,Heaven is for Real,Sony Pict…,"$91,386,097","$22,522,221",3048,https://www.the-numbers.com/movie/Heaven-is-for-Real#tab=summary
35,36,The Imitation Game,Weinstein…,"$91,125,143","$479,352",2402,https://www.the-numbers.com/movie/Imitation-Game-The#tab=summary
36,37,Dumb and Dumber To,Universal,"$86,208,010","$36,111,775",3188,https://www.the-numbers.com/movie/Dumb-and-Dumber-To#tab=summary
37,38,Annie,Sony Pict…,"$85,911,262","$15,861,939",3197,https://www.the-numbers.com/movie/Annie-(2014)#tab=summary
38,39,Fury,Sony Pict…,"$85,817,906","$23,702,421",3313,https://www.the-numbers.com/movie/Fury-(2014)#tab=summary
39,40,Tammy,Warner Bros.,"$84,525,432","$21,577,049",3465,https://www.the-numbers.com/movie/Tammy#tab=summary
40,41,Annabelle,Warner Bros.,"$84,273,813","$37,134,255",3215,https://www.the-numbers.com/movie/Annabelle#tab=summary
41,42,The Other Woman,20th Cent…,"$83,911,193","$24,763,752",3306,https://www.the-numbers.com/movie/Other-Woman-The-(2014)#tab=summary
42,43,Penguins of Madagascar,20th Cent…,"$83,350,911","$25,447,444",3775,https://www.the-numbers.com/movie/Penguins-of-Madagascar#tab=summary
43,44,Let’s Be Cops,20th Cent…,"$82,390,774","$17,813,722",3140,https://www.the-numbers.com/movie/Lets-Be-Cops#tab=summary
44,45,The Monuments Men,Sony Pict…,"$78,031,620","$22,003,433",3083,https://www.the-numbers.com/movie/Monuments-Men-The#tab=summary
45,46,Hercules,Paramount…,"$72,688,614","$29,800,263",3595,https://www.the-numbers.com/movie/Hercules-(2014)#tab=summary
46,47,The Purge: Anarchy,Universal,"$71,562,550","$29,816,675",2856,https://www.the-numbers.com/movie/Purge-Anarchy-The#tab=summary
47,48,"Alexander and the Terrible, Horrible, No Good, …",Walt Disney,"$66,954,149","$18,360,230",3176,https://www.the-numbers.com/movie/Alexander-and-the-Terrible-Horrible-No-Good-Very-Bad-Day#tab=summary
48,49,Think Like a Man Too,Sony Pict…,"$65,028,687","$29,241,911",3049,https://www.the-numbers.com/movie/Think-Like-a-Man-2#tab=summary
49,50,Exodus: Gods and Kings,20th Cent…,"$65,014,513","$24,115,934",3503,https://www.the-numbers.com/movie/Exodus-Gods-and-Kings#tab=summary
50,51,The Nut Job,Open Road,"$64,251,538","$19,405,000",3472,https://www.the-numbers.com/movie/Nut-Job-The#tab=summary
51,52,God’s Not Dead,Pure Flix…,"$60,755,732","$9,244,641",1860,https://www.the-numbers.com/movie/Gods-Not-Dead#tab=summary
52,53,Son of God,20th Cent…,"$59,700,064","$25,601,865",3271,https://www.the-numbers.com/movie/Son-of-God#tab=summary
53,54,Planes: Fire and Rescue,Walt Disney,"$59,157,732","$17,509,407",3839,https://www.the-numbers.com/movie/Planes-Fire-and-Rescue#tab=summary
54,55,The Grand Budapest Hotel,Fox Searc…,"$59,076,019","$811,166",1467,https://www.the-numbers.com/movie/Grand-Budapest-Hotel-The#tab=summary
55,56,RoboCop,Sony Pict…,"$58,607,007","$21,681,430",3372,https://www.the-numbers.com/movie/RoboCop-(2013)#tab=summary
56,57,Dracula Untold,Universal,"$55,991,880","$23,514,615",2900,https://www.the-numbers.com/movie/Dracula-Untold#tab=summary
57,58,Horrible Bosses 2,Warner Bros.,"$54,445,357","$15,457,418",3400,https://www.the-numbers.com/movie/Horrible-Bosses-2#tab=summary
58,59,The Hundred-Foot Journey,Walt Disney,"$54,235,441","$10,979,290",2167,https://www.the-numbers.com/movie/Hundred-Foot-Journey-The#tab=summary
59,60,No Good Deed,Sony Pict…,"$52,543,632","$24,250,283",2175,https://www.the-numbers.com/movie/No-Good-Deed-(2013)#tab=summary
60,61,Muppets Most Wanted,Walt Disney,"$51,178,893","$17,005,126",3194,https://www.the-numbers.com/movie/Muppets-Most-Wanted#tab=summary
61,62,Ouija,Universal,"$50,856,010","$19,875,995",2899,https://www.the-numbers.com/movie/Ouija-(2014)#tab=summary
62,63,The Boxtrolls,Focus Fea…,"$50,837,305","$17,275,239",3464,https://www.the-numbers.com/movie/Boxtrolls-The#tab=summary
63,64,Jack Ryan: Shadow Recruit,Paramount…,"$50,577,412","$15,451,981",3387,https://www.the-numbers.com/movie/Jack-Ryan-Shadow-Recruit#tab=summary
64,65,If I Stay,Warner Bros.,"$50,474,843","$15,679,190",3157,https://www.the-numbers.com/movie/If-I-Stay#tab=summary
65,66,The Book of Life,20th Cent…,"$50,151,543","$17,005,218",3113,https://www.the-numbers.com/movie/Book-of-Life-The#tab=summary
66,67,About Last Night,Sony Pict…,"$48,637,684","$25,649,011",2253,https://www.the-numbers.com/movie/About-Last-Night-(2014)#tab=summary
67,68,Into the Storm,Warner Bros.,"$47,602,194","$17,346,427",3434,https://www.the-numbers.com/movie/Into-the-Storm#tab=summary
68,69,The Judge,Warner Bros.,"$47,119,388","$13,116,226",3003,https://www.the-numbers.com/movie/Judge-The#tab=summary
69,70,Jersey Boys,Warner Bros.,"$47,047,013","$13,319,371",2905,https://www.the-numbers.com/movie/Jersey-Boys#tab=summary
70,71,Blended,Warner Bros.,"$46,290,741","$14,284,031",3555,https://www.the-numbers.com/movie/Blended#tab=summary
71,72,The Giver,Weinstein…,"$45,090,374","$12,305,016",3003,https://www.the-numbers.com/movie/Giver-The#tab=summary
72,73,St. Vincent,Weinstein…,"$44,137,712","$109,878",2552,https://www.the-numbers.com/movie/St-Vincent#tab=summary
73,74,Need for Speed,Walt Disney,"$43,568,507","$17,844,939",3115,https://www.the-numbers.com/movie/Need-for-Speed#tab=summary
74,75,John Wick,Lionsgate,"$43,037,835","$14,415,922",2589,https://www.the-numbers.com/movie/John-Wick#tab=summary
75,76,A Million Ways to Die in The West,Universal,"$42,720,965","$16,797,385",3160,https://www.the-numbers.com/movie/Million-Ways-to-Die-in-the-West-A#tab=summary
76,77,Birdman or (The Unexpected Virtue of Ignorance),Fox Searc…,"$42,340,598","$424,397",1213,https://www.the-numbers.com/movie/Birdman#tab=summary
77,78,Dolphin Tale 2,Warner Bros.,"$42,024,533","$15,873,397",3656,https://www.the-numbers.com/movie/Dolphin-Tale-2#tab=summary
78,79,The Expendables 3,Lionsgate,"$39,322,544","$15,879,645",3221,https://www.the-numbers.com/movie/Expendables-3-The#tab=summary
79,80,Earth to Echo,Relativity,"$38,934,842","$8,364,199",3230,https://www.the-numbers.com/movie/Earth-to-Echo#tab=summary
80,81,Sex Tape,Sony Pict…,"$38,543,473","$14,608,152",3062,https://www.the-numbers.com/movie/Sex-Tape#tab=summary
81,82,Wild,Fox Searc…,"$37,880,356","$606,810",1361,https://www.the-numbers.com/movie/Wild-(2014)#tab=summary
82,83,Million Dollar Arm,Walt Disney,"$36,447,959","$10,515,659",3019,https://www.the-numbers.com/movie/Million-Dollar-Arm#tab=summary
83,84,The Theory of Everything,Focus Fea…,"$35,893,537","$208,763",1220,https://www.the-numbers.com/movie/Theory-of-Everything-The-(2014)#tab=summary
84,85,This is Where I Leave You,Warner Bros.,"$34,296,320","$11,558,149",2868,https://www.the-numbers.com/movie/This-is-Where-I-Leave-You#tab=summary
85,86,The Gambler,Paramount…,"$33,680,992",,2494,https://www.the-numbers.com/movie/Gambler-The-(2014)#tab=summary
86,87,Paranormal Activity: The Marked Ones,Paramount…,"$32,462,372","$18,343,611",2883,https://www.the-numbers.com/movie/Paranormal-Activity-The-Marked-Ones#tab=summary
87,88,Nightcrawler,Open Road,"$32,381,218","$10,441,000",2766,https://www.the-numbers.com/movie/Nightcrawler#tab=summary
88,89,Chef,Open Road,"$31,424,004","$204,961",1298,https://www.the-numbers.com/movie/Chef#tab=summary
89,90,3 Days to Kill,Relativity,"$30,697,999","$12,242,218",2872,https://www.the-numbers.com/movie/3-Days-to-Kill#tab=summary
90,91,Deliver Us from Evil,Sony Pict…,"$30,577,122","$9,740,471",3049,https://www.the-numbers.com/movie/Deliver-Us-From-Evil-(2014)#tab=summary
91,92,Get on Up,Universal,"$30,569,935","$13,585,915",2469,https://www.the-numbers.com/movie/Get-on-Up#tab=summary
92,93,When the Game Stands Tall,Sony Pict…,"$30,127,963","$8,381,509",2766,https://www.the-numbers.com/movie/When-the-Game-Stands-Tall#tab=summary
93,94,Draft Day,Lionsgate,"$28,842,237","$9,783,603",2781,https://www.the-numbers.com/movie/Draft-Day#tab=summary
94,95,Oculus,Relativity,"$27,695,246","$12,005,402",2648,https://www.the-numbers.com/movie/Oculus#tab=summary
95,96,The Best of Me,Relativity,"$26,766,213","$10,003,827",2936,https://www.the-numbers.com/movie/Best-of-Me-The#tab=summary
96,97,That Awkward Moment,FilmDistrict,"$26,068,955","$8,742,109",2809,https://www.the-numbers.com/movie/That-Awkward-Moment#tab=summary
97,98,A Walk Among the Tombstones,Universal,"$26,017,685","$12,758,780",2714,https://www.the-numbers.com/movie/Walk-Among-the-Tombstones-A-(2014)#tab=summary
98,99,Her,Warner Bros.,"$25,568,251","$260,382",2005,https://www.the-numbers.com/movie/Her#tab=summary
99,100,Boyhood,IFC Films,"$25,379,975","$387,618",775,https://www.the-numbers.com/movie/Boyhood#tab=summary
