,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,Star Wars Ep. VIII: The Last Jedi,Walt Disney,"$620,181,382","$220,009,584",4232,https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary
1,2,Beauty and the Beast,Walt Disney,"$504,014,165","$174,750,616",4210,https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary
2,3,Wonder Woman,Warner Bros.,"$412,563,408","$103,251,471",4165,https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary
3,4,Jumanji: Welcome to the Jungle,Sony Pict…,"$404,508,916","$36,169,328",3849,https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary
4,5,Guardians of the Galaxy Vol 2,Walt Disney,"$389,813,101","$146,510,104",4347,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
5,6,Spider-Man: Homecoming,Sony Pict…,"$334,201,140","$117,027,503",4348,https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary
6,7,It,Warner Bros.,"$328,828,874","$123,403,419",4148,https://www.the-numbers.com/movie/It-(2017)#tab=summary
7,8,Thor: Ragnarok,Walt Disney,"$315,058,289","$122,744,989",4080,https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary
8,9,Despicable Me 3,Universal,"$264,624,300","$72,434,025",4535,https://www.the-numbers.com/movie/Despicable-Me-3#tab=summary
9,10,Justice League,Warner Bros.,"$229,024,295","$93,842,239",4051,https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary
10,11,Logan,20th Cent…,"$226,277,068","$88,411,916",4071,https://www.the-numbers.com/movie/Logan-(2017)#tab=summary
11,12,The Fate of the Furious,Universal,"$225,764,765","$98,786,705",4329,https://www.the-numbers.com/movie/Fate-of-the-Furious-The#tab=summary
12,13,Coco,Walt Disney,"$210,460,015","$50,802,605",3987,https://www.the-numbers.com/movie/Coco-(2017)#tab=summary
13,14,Dunkirk,Warner Bros.,"$190,068,280","$50,513,488",4014,https://www.the-numbers.com/movie/Dunkirk-(2017)#tab=summary
14,15,Get Out,Universal,"$175,837,935","$33,377,060",3143,https://www.the-numbers.com/movie/Get-Out-(2017)#tab=summary
15,16,The Lego Batman Movie,Warner Bros.,"$175,750,384","$53,003,468",4088,https://www.the-numbers.com/movie/Lego-Batman-Movie-The#tab=summary
16,17,The Boss Baby,20th Cent…,"$175,003,033","$50,198,902",3829,https://www.the-numbers.com/movie/Boss-Baby-The#tab=summary
17,18,The Greatest Showman,20th Cent…,"$174,340,174","$8,805,843",3342,https://www.the-numbers.com/movie/Greatest-Showman-The#tab=summary
