,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
18,19,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney,"$172,558,876","$62,983,253",4276,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Men-Tell-No-Tales#tab=summary
19,20,Kong: Skull Island,Warner Bros.,"$168,052,812","$61,025,472",3846,https://www.the-numbers.com/movie/Kong-Skull-Island#tab=summary
20,21,Cars 3,Walt Disney,"$152,901,115","$53,688,680",4256,https://www.the-numbers.com/movie/Cars-3#tab=summary
21,22,War for the Planet of the Apes,20th Cent…,"$146,880,162","$56,262,929",4100,https://www.the-numbers.com/movie/War-for-the-Planet-of-the-Apes#tab=summary
22,23,Split,Universal,"$138,141,585","$40,010,975",3373,https://www.the-numbers.com/movie/Split-(2017)#tab=summary
23,24,Wonder,Lionsgate,"$132,422,809","$27,547,866",3519,https://www.the-numbers.com/movie/Wonder-(2017)#tab=summary
24,25,Transformers: The Last Knight,Paramount…,"$130,168,683","$44,680,073",4132,https://www.the-numbers.com/movie/Transformers-The-Last-Knight#tab=summary
25,26,Girls Trip,Universal,"$115,108,515","$31,201,920",2648,https://www.the-numbers.com/movie/Girls-Trip#tab=summary
26,27,Fifty Shades Darker,Universal,"$114,434,010","$46,607,250",3714,https://www.the-numbers.com/movie/Fifty-Shades-Darker#tab=summary
27,28,Baby Driver,Sony Pict…,"$107,825,862","$20,553,320",3226,https://www.the-numbers.com/movie/Baby-Driver#tab=summary
28,29,Pitch Perfect 3,Universal,"$104,897,530","$19,928,525",3468,https://www.the-numbers.com/movie/Pitch-Perfect-3#tab=summary
29,30,Daddy’s Home 2,Paramount…,"$104,029,443","$29,651,193",3575,https://www.the-numbers.com/movie/Daddys-Home-2#tab=summary
30,31,Murder on the Orient Express,20th Cent…,"$102,826,543","$28,681,472",3354,https://www.the-numbers.com/movie/Murder-on-the-Orient-Express-(2017)#tab=summary
31,32,Annabelle: Creation,Warner Bros.,"$102,092,201","$35,006,404",3565,https://www.the-numbers.com/movie/Annabelle-Creation#tab=summary
32,33,Kingsman: The Golden Circle,20th Cent…,"$100,234,838","$39,023,010",4038,https://www.the-numbers.com/movie/Kingsman-The-Golden-Circle#tab=summary
33,34,Blade Runner 2049,Warner Bros.,"$92,054,159","$32,753,122",4058,https://www.the-numbers.com/movie/Blade-Runner-2049#tab=summary
34,35,John Wick: Chapter Two,Lionsgate,"$92,029,184","$30,436,123",3113,https://www.the-numbers.com/movie/John-Wick-Chapter-Two#tab=summary
35,36,The Emoji Movie,Sony Pict…,"$86,089,513","$24,531,923",4075,https://www.the-numbers.com/movie/Emoji-Movie-The#tab=summary
36,37,Power Rangers,Lionsgate,"$85,364,450","$40,300,288",3693,https://www.the-numbers.com/movie/Power-Rangers-(2017)#tab=summary
37,38,Ferdinand,20th Cent…,"$84,410,380","$13,401,586",3630,https://www.the-numbers.com/movie/Ferdinand#tab=summary
38,39,The Post,20th Cent…,"$81,903,458","$526,011",2851,https://www.the-numbers.com/movie/Post-The#tab=summary
39,40,The Mummy,Universal,"$80,101,125","$31,668,375",4035,https://www.the-numbers.com/movie/Mummy-The-(2017)#tab=summary
40,41,The Hitman’s Bodyguard,Lionsgate,"$75,468,583","$21,384,504",3377,https://www.the-numbers.com/movie/Hitmans-Bodyguard-The#tab=summary
41,42,Alien: Covenant,20th Cent…,"$74,262,031","$36,160,621",3772,https://www.the-numbers.com/movie/Alien-Covenant#tab=summary
42,43,Captain Underpants: The First Epic Movie,20th Cent…,"$73,921,000","$23,851,539",3529,https://www.the-numbers.com/movie/Captain-Underpants-The-First-Epic-Movie#tab=summary
43,44,A Bad Moms Christmas,STX Enter…,"$72,110,659","$16,759,161",3615,https://www.the-numbers.com/movie/Bad-Moms-Christmas-A#tab=summary
44,45,A Dog’s Purpose,Universal,"$64,321,890","$18,222,810",3178,https://www.the-numbers.com/movie/Dogs-Purpose-A#tab=summary
45,46,The Shape of Water,Fox Searc…,"$63,859,435","$166,564",2341,https://www.the-numbers.com/movie/Shape-of-Water-The#tab=summary
46,47,The Lego Ninjago Movie,Warner Bros.,"$59,281,555","$20,433,071",4047,https://www.the-numbers.com/movie/Lego-Ninjago-Movie-The#tab=summary
47,48,Baywatch,Paramount…,"$58,060,186","$18,503,871",3647,https://www.the-numbers.com/movie/Baywatch#tab=summary
48,49,The Shack,Lionsgate,"$57,386,418","$16,172,119",2888,https://www.the-numbers.com/movie/Shack-The#tab=summary
49,50,Darkest Hour,Focus Fea…,"$56,443,120","$175,006",1733,https://www.the-numbers.com/movie/Darkest-Hour-(UK)#tab=summary
50,51,Happy Death Day,Universal,"$55,683,845","$26,039,025",3535,https://www.the-numbers.com/movie/Happy-Death-Day#tab=summary
51,52,"Three Billboards Outside Ebbing, Missouri",Fox Searc…,"$54,513,740","$322,168",1726,https://www.the-numbers.com/movie/Three-Billboards-Outside-Ebbing-Missouri#tab=summary
52,53,Atomic Blonde,Focus Fea…,"$51,573,925","$18,286,420",3326,https://www.the-numbers.com/movie/Atomic-Blonde#tab=summary
53,54,American Made,Universal,"$51,342,000","$16,776,390",3098,https://www.the-numbers.com/movie/American-Made#tab=summary
54,55,The Dark Tower,Sony Pict…,"$50,701,325","$19,153,698",3451,https://www.the-numbers.com/movie/Dark-Tower-The#tab=summary
55,56,Lady Bird,A24,"$48,958,273","$364,437",1557,https://www.the-numbers.com/movie/Lady-Bird-(2017)#tab=summary
56,57,Tyler Perry’s Boo 2! A Madea Halloween,Lionsgate,"$47,319,572","$21,226,953",2388,https://www.the-numbers.com/movie/Tyler-Perrys-Boo-2-A-Madea-Halloween#tab=summary
57,58,Snatched,20th Cent…,"$45,852,178","$19,542,248",3511,https://www.the-numbers.com/movie/Snatched-(2017)#tab=summary
58,59,The Great Wall,Universal,"$45,157,105","$18,469,620",3328,https://www.the-numbers.com/movie/Great-Wall-The#tab=summary
59,60,Smurfs: The Lost Village,Sony Pict…,"$45,020,282","$13,210,449",3610,https://www.the-numbers.com/movie/Smurfs-The-Lost-Village#tab=summary
60,61,Going in Style,Warner Bros.,"$45,018,541","$11,932,330",3076,https://www.the-numbers.com/movie/Going-in-Style-(2017)#tab=summary
61,62,All Eyez on Me,Lionsgate,"$44,922,302","$26,435,354",2471,https://www.the-numbers.com/movie/All-Eyez-on-Me#tab=summary
62,63,xXx: Return of Xander Cage,Paramount…,"$44,898,413","$20,130,142",3651,https://www.the-numbers.com/movie/xXx-Return-of-Xander-Cage#tab=summary
63,64,47 Meters Down,Entertain…,"$44,307,193","$11,205,562",2471,https://www.the-numbers.com/movie/47-Meters-Down#tab=summary
64,65,The Big Sick,Lionsgate,"$42,872,467","$421,577",2597,https://www.the-numbers.com/movie/Big-Sick-The#tab=summary
65,66,The Star,Sony Pict…,"$40,847,995","$9,812,674",2976,https://www.the-numbers.com/movie/Star-The#tab=summary
66,67,Ghost in the Shell,Paramount…,"$40,563,557","$18,676,033",3440,https://www.the-numbers.com/movie/Ghost-in-the-Shell#tab=summary
67,68,Valerian and the City of a Thousand Planets,STX Enter…,"$40,479,370","$17,007,624",3553,https://www.the-numbers.com/movie/Valerian-and-the-City-of-a-Thousand-Planets-(France)#tab=summary
68,69,King Arthur: Legend of the Sword,Warner Bros.,"$39,175,066","$15,371,270",3702,https://www.the-numbers.com/movie/King-Arthur-Legend-of-the-Sword#tab=summary
69,70,Jigsaw,Lionsgate,"$38,052,832","$16,640,452",2941,https://www.the-numbers.com/movie/Jigsaw-(2017)#tab=summary
70,71,American Assassin,Lionsgate,"$36,249,674","$14,846,778",3154,https://www.the-numbers.com/movie/American-Assassin#tab=summary
71,72,The Foreigner,STX Enter…,"$34,393,507","$13,113,024",2515,https://www.the-numbers.com/movie/Foreigner-The-(UK-China)#tab=summary
72,73,"Everything, Everything",Warner Bros.,"$34,121,140","$11,727,390",2801,https://www.the-numbers.com/movie/Everything-Everything#tab=summary
73,74,Wind River,Weinstein…,"$33,800,859","$161,558",2890,https://www.the-numbers.com/movie/Wind-River-(2017)#tab=summary
74,75,Geostorm,Warner Bros.,"$33,700,160","$13,707,376",3246,https://www.the-numbers.com/movie/Geostorm#tab=summary
75,76,Monster Trucks,Paramount…,"$33,370,166","$10,950,705",3119,https://www.the-numbers.com/movie/Monster-Trucks#tab=summary
76,77,Fist Fight,Warner Bros.,"$32,187,017","$12,201,873",3185,https://www.the-numbers.com/movie/Fist-Fight#tab=summary
77,78,How to Be a Latin Lover,Lionsgate,"$32,149,404","$12,252,439",1203,https://www.the-numbers.com/movie/How-to-Be-a-Latin-Lover#tab=summary
78,79,Kidnap,Aviron Pi…,"$30,718,107","$10,016,323",2418,https://www.the-numbers.com/movie/Kidnap-(2017)#tab=summary
79,80,Underworld: Blood Wars,Sony Pict…,"$30,353,973","$13,688,751",3070,https://www.the-numbers.com/movie/Underworld-Blood-Wars#tab=summary
80,81,The Mountain Between Us,20th Cent…,"$30,348,555","$10,551,336",3259,https://www.the-numbers.com/movie/Mountain-Between-Us-The#tab=summary
81,82,Life,Sony Pict…,"$30,234,022","$12,501,936",3146,https://www.the-numbers.com/movie/Life-(2017)#tab=summary
82,83,"I, Tonya",Neon,"$30,014,534","$264,155",1450,https://www.the-numbers.com/movie/I-Tonya#tab=summary
83,84,Hostiles,Entertain…,"$29,819,114","$22,849",2934,https://www.the-numbers.com/movie/Hostiles-(2017)#tab=summary
84,85,Molly’s Game,STX Enter…,"$28,780,744","$2,349,967",1708,https://www.the-numbers.com/movie/Mollys-Game#tab=summary
85,86,The Nut Job 2: Nutty by Nature,Open Road,"$28,370,522","$8,342,311",4003,https://www.the-numbers.com/movie/Nut-Job-2-Nutty-by-Nature-The#tab=summary
86,87,Rings,Paramount…,"$27,793,018","$13,002,632",2931,https://www.the-numbers.com/movie/Rings-(2017)#tab=summary
87,88,Logan Lucky,Bleecker …,"$27,778,642","$7,600,036",3031,https://www.the-numbers.com/movie/Logan-Lucky#tab=summary
88,89,Home Again,Open Road,"$27,020,284","$8,567,881",3036,https://www.the-numbers.com/movie/Home-Again-(2017)#tab=summary
89,90,Resident Evil: The Final Chapter,Sony Pict…,"$26,844,692","$13,601,682",3104,https://www.the-numbers.com/movie/Resident-Evil-The-Final-Chapter#tab=summary
90,91,The House,Warner Bros.,"$25,584,504","$8,724,795",3134,https://www.the-numbers.com/movie/House-The-(2016)#tab=summary
91,92,All the Money in the World,Sony Pict…,"$25,106,325","$5,584,684",2123,https://www.the-numbers.com/movie/All-the-Money-in-the-World#tab=summary
92,93,Gifted,Fox Searc…,"$24,801,212","$446,380",2215,https://www.the-numbers.com/movie/Gifted#tab=summary
93,94,Downsizing,Paramount…,"$24,449,754","$4,954,287",2668,https://www.the-numbers.com/movie/Downsizing#tab=summary
94,95,The Bye Bye Man,STX Enter…,"$22,395,806","$13,501,349",2220,https://www.the-numbers.com/movie/Bye-Bye-Man-The#tab=summary
95,96,Victoria and Abdul,Focus Fea…,"$22,245,070","$158,845",1060,https://www.the-numbers.com/movie/Victoria-and-Abdul#tab=summary
96,97,Rough Night,Sony Pict…,"$22,105,643","$8,004,283",3162,https://www.the-numbers.com/movie/Rough-Night#tab=summary
97,98,My Little Pony: The Movie,Lionsgate,"$21,885,107","$8,885,899",2528,https://www.the-numbers.com/movie/My-Little-Pony-The-Movie-(2017)#tab=summary
98,99,Ballerina,Weinstein…,"$21,858,070","$4,730,038",2705,https://www.the-numbers.com/movie/Ballerina-(Canada)#tab=summary
99,100,Phantom Thread,Focus Fea…,"$21,198,205","$216,495",1186,https://www.the-numbers.com/movie/Phantom-Thread#tab=summary
