,Rank,Movie,Distributor,Domestic Box Office,Opening Weekend Box Office,Max Theater Count,link
0,1,The Avengers,Walt Disney,"$623,357,910","$207,438,708",4349,https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
1,2,The Dark Knight Rises,Warner Bros.,"$448,139,099","$160,887,295",4404,https://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary
2,3,The Hunger Games,Lionsgate,"$408,010,692","$152,535,747",4137,https://www.the-numbers.com/movie/Hunger-Games-The#tab=summary
3,4,Skyfall,Sony Pict…,"$304,360,277","$88,364,714",3526,https://www.the-numbers.com/movie/Skyfall#tab=summary
4,5,The Hobbit: An Unexpected Journey,Warner Bros.,"$303,003,568","$84,617,303",4100,https://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary
5,6,"The Twilight Saga: Breaking Dawn, Part 2",Lionsgate,"$292,324,737","$141,067,634",4070,https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary
6,7,The Amazing Spider-Man,Sony Pict…,"$262,030,663","$62,004,688",4318,https://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary
7,8,Brave,Walt Disney,"$237,282,182","$66,323,594",4164,https://www.the-numbers.com/movie/Brave#tab=summary
8,9,Ted,Universal,"$218,665,740","$54,415,205",3303,https://www.the-numbers.com/movie/Ted#tab=summary
9,10,Madagascar 3: Europe's Most Wanted,Paramount…,"$216,391,482","$60,316,738",4263,https://www.the-numbers.com/movie/Madagascar-3#tab=summary
10,11,Dr. Seuss’ The Lorax,Universal,"$214,030,500","$70,217,070",3769,https://www.the-numbers.com/movie/Lorax-The#tab=summary
11,12,Wreck-It Ralph,Walt Disney,"$189,412,677","$49,038,712",3752,https://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary
12,13,Lincoln,Walt Disney,"$182,207,973","$944,308",2293,https://www.the-numbers.com/movie/Lincoln#tab=summary
13,14,Men in Black 3,Sony Pict…,"$179,020,854","$54,592,779",4248,https://www.the-numbers.com/movie/Men-in-Black-3#tab=summary
14,15,Django Unchained,Weinstein…,"$162,805,434","$30,122,888",3012,https://www.the-numbers.com/movie/Django-Unchained#tab=summary
15,16,Ice Age: Continental Drift,20th Cent…,"$161,321,843","$46,629,259",3886,https://www.the-numbers.com/movie/Ice-Age-Continental-Drift#tab=summary
16,17,Snow White and the Huntsman,Universal,"$155,136,755","$56,217,700",3777,https://www.the-numbers.com/movie/Snow-White-and-the-Huntsman#tab=summary
17,18,Les Misérables,Universal,"$148,809,770","$27,281,735",2927,https://www.the-numbers.com/movie/Miserables-Les-(2012)#tab=summary
18,19,Hotel Transylvania,Sony Pict…,"$148,313,048","$42,522,194",3384,https://www.the-numbers.com/movie/Hotel-Transylvania#tab=summary
19,20,Taken 2,20th Cent…,"$139,854,287","$49,514,769",3706,https://www.the-numbers.com/movie/Taken-2#tab=summary
20,21,21 Jump Street,Sony Pict…,"$138,447,667","$36,302,612",3148,https://www.the-numbers.com/movie/21-Jump-Street#tab=summary
21,22,Argo,Warner Bros.,"$136,025,503","$19,458,109",3247,https://www.the-numbers.com/movie/Argo#tab=summary
22,23,Silver Linings Playbook,Weinstein…,"$132,092,958","$443,003",2809,https://www.the-numbers.com/movie/Silver-Linings-Playbook#tab=summary
23,24,Prometheus,20th Cent…,"$126,477,084","$51,050,101",3442,https://www.the-numbers.com/movie/Prometheus#tab=summary
24,25,Safe House,Universal,"$126,181,630","$40,172,720",3121,https://www.the-numbers.com/movie/Safe-House#tab=summary
